ingredient,adulterant,count
Cheese (water buffalo),Non-authentic milk (bovine),2
Milk ingredients,Melamine,2
Hazelnut oil,Oil from non-authentic botanical origin,2
Milk ingredient,Melamine,2
Honey,C4 sugars,2
Honey,Cane sugar,2
Silver foil,Aluminum foil,2
Gum arabic* (Acacia senegal),Gum from non-authentic botanical origin,2
Saffron (Crocus sativus L.),Tartrazine,2
Shrimp (Panama),"Shrimp from Thailand, Malaysia, or Indonesia",2
Milk fat,Non-authentic fats,2
Gum arabic* (Acacia senegal),Gum talha (Acacia seyal),2
Monkfish,Puffer fish,2
Salt*,Industrial salt,2
Paprika,Lead tetraoxide,2
Milk fat,Non-authentic fat,2
Cheese (caprine),Non-authentic milk (bovine),2
Palm oil*,"Animal fat (lard, beef tallow, or chicken fat)",2
Grapeseed oil,Oil from non-authentic botanical origin,2
Palm oil*,Lard,2
Chili powder,Dehydrated red beets,2
Milk fat,Vegetable oil,2
Gum arabic* (Acacia senegal),Gum from Acacia seyal,2
Haddock (USA origin),Haddock (China origin),2
Cumin,Peanut shell,2
Grapefruit seed extract,Decyltrimethylammonium chloride (Antimicrobial compound),2
Olive oil (virgin),Olive pomace oil,2
Olive oil (extra virgin),Oil of non-authentic botanical origin,2
Coffee,Roasted corn,2
Coffee,"Roasted, ground barley",2
Olive oil (extra virgin),Palm oil,2
Rice,Rice from non-authentic geographic origin,2
Fish,Non-authentic fish species,2
Red wine,Anthocyannins extracted from black rice,2
Coffee (arabica),Coffee (robusta),2
Red lentils (Lens culinaris),Red vetch [Blanche fleur (V. sativa)],2
Olive oil (extra virgin),Walnut oil,2
Raw milk derived ingredients,Heat-processed milk,2
Raspberry puree,Apple puree,2
Olive oil (virgin),Oil from non-authentic botanical origin,2
Olive oil (virgin),Olive oil from non-authentic geographic origin,2
Radix astragali,Root of non-authentic botanical origin,2
Grapefruit seed extract,Cetrimonium bromide (Antimicrobial compound),2
Olive oil (virgin),Sunflower oil,2
Coffee (instant),Maltodextrins,2
Pulses,Khesari dal or lathyrus sativus,2
Coffee (instant),Starch,2
Propolis,Propolis of non-authentic geographic origin,2
Propolis,Poplar tree gum,2
Cooking oil,Aircraft machine oil,2
Fish (Swordfish),Mako shark,2
Orange juice,Beet medium invert sugar,2
Coriander powder,Dung,2
Orange juice,Mandarin juice,2
Pomegranate juice,Grape juice,2
Fish (Monkfish),Puffer fish,2
Orange juice,Orange juice of non-authentic geographic origin,2
Royal jelly,Royal jelly produced from non-authentic saccharide sources,2
Palm kernel oil*,"Animal fat (lard, beef tallow, or chicken fat)",2
Coffee,Coffee husks,2
Coffee,Coffee husk,2
Mustard oil (Brassica compestris),Argemone oil (Argemone mexicana),2
Saffron (Crocus sativus L.),Red 2G,2
Saffron (Crocus sativus L.),Ponceau 4R,2
Grapefruit seed extract,Benzalkonium chloride,2
Cinnamon,Coffee husks,2
Nutmeg,Coffee husks,2
Grape wine (Vitis vinifera),Grape wine from non-authentic geographic origin,2
Paprika,"Sudan I, II, III, or IV dyes",2
Paprika,Sudan dyes,2
Clouding agent,(2-ethylhexyl)phthalate (DEHP),2
Grape musts (Vitis vinifera),Grape wine from non-authentic botanical origin,2
Curry powder,Sudan dyes,2
Saffron (Crocus sativus L.),Allura red,2
Olive oil,Oil from non-authentic botanical origin rich in linoleic acid,2
Cocoa powder,Non-authentic material,2
Cocoa powder,Soybean meal,2
Curry powder,"Sudan I, II, III, or IV dyes",2
Sole,Catfish,2
Coconut oil (virgin),Palm kernel oil,2
Olive oil,Vegetable oil,2
Coconut oil (virgin),Palm oil,2
Olive oil,Walnut oil,2
Saffron,Flowers from Arnica,2
Cod liver oil,Chicken fat,2
Cod liver oil,Lard,2
Saffron,Color additives,2
Olive oil (extra virgin),Cottonseed oil,2
Coffee,Cereals,2
Coffee,Chicory,2
Cooking oil,Processed animal fat (gutter oil),2
Sesame oil,Cottonseed oil,2
Milk (fluid),Hypochlorite,2
Honey,Non-authentic country origin,2
Milk (fluid),Ammonium sulfate,2
Milk (fluid),Milk powder and non-potable water,2
Apricot puree,Pumpkin puree,2
Milk,Melamine,2
Argan oil,Oil from non-authentic botanical origin,2
Tuna,Fish of non-authentic species,2
Jamaica ginger,Tri-ortho cresyl phosphate,2
Milk (fluid),Boric acid,2
Turmeric,Food starches,2
Lemon juice,Water,2
Asafoetida,Soap stone,2
Honey,Invert syrups (beet or cane),2
Honey,Invert sugar syrups,2
Turmeric,Metanil yellow,2
Lemon juice,Citric acid,2
Brown sugar,Low-grade sugar combined with glucose powder,2
Vinegar,Vinegar from non-authentic fermentable sugar source,2
Bergamot oil,Reconstituted bergamot oil,2
Milk (fluid),Synthetic milk,2
Wine,Non-authentic brand,2
Black pepper (ground),Ground papaya seeds,2
Apple juice,Pineapple juice,2
Apple juice,Pear juice,2
Milk (fluid),Salicylic acid,2
Apple juice,Inverted cane syrup,2
Bergamot oil (cold-pressed),Bergamot oil (distilled),2
Tea,Sand,2
Honey,Sugar syrups,2
Honey,Sugar syrup,2
Tea,Iron filings,2
Honey,Sugar,2
Bergamot oil,Terpenes from sweet orange,2
Infant formula (hypoallergenic),Infant formula with soy or dairy allergens,2
Apple juice,dl-malic acid,2
Milk (fluid),Sorbitol,2
Sumac spice,Basic red 46 dye,2
Wheat (durum),Soft wheat,2
Black pepper,Papaya seeds,2
Honey,Invert beet sugar,2
Milk (fluid),Refined oil,2
Turmeric,"Sudan I, II, III, or IV dyes",2
Beef meat,Sulfur dioxide,2
Wine,Non-authentic wine,2
Vegetable oil,Oil from non-authentic botanical origin,2
Soybean oil,Palm oil,2
Milk (organic),Non-organic milk,2
Honey,Honey from non-authentic geographic origin,2
Beeswax*,Stearic acid,2
Zivania,Non-authentic spirits,2
Vegetable oil (species specific),Palm oil,2
Cane syrup,Low-grade of molasses combined with glucose syrup,2
Camellia seed oil,Soybean oil,2
"Milk (fluid, ewe)",Milk (bovine),2
Camellia oil,Oil of non-authentic botanical origin,2
Soy sauce (soy fermentation),Soy sauce derived from acid hydrolyzed vegetable protein,2
Milk (ovine),Milk (caprine),2
Milk (ovine),Milk (cow),2
Canola oil*,"Animal fat (lard, beef tallow, or chicken fat)",2
Vanilla extract (natural),Synthetic or semi-synthetic vanillin,2
Vanilla extract,Vanillin,2
Wine,Non-authentic brand of wine,2
Beeswax*,Paraffin wax,2
Turmeric powder,Metanil yellow,2
Beef meat,Pork meat,2
Butter,Margarine,2
Honey,Honey of non-authentic geographic origin,2
Milk (powder),Cane sugar,2
Milk (fluid),Fake milk,2
Turmeric,Sudan dyes,2
Fruit purees and preparations,Fruit from non-authentic botanical origin,1
Fish meal,Soybean meal,1
Linalool (natural),Synthetic linalool,1
Fish meal,Melamine,1
Fruit juice,Non-authentic sugars,1
"Fish (Yellowtail), (Seriola lalandi)",Buri (Seriola quinqueradiata),1
Fruit purees and products,Fruit from non-authentic botanical origin,1
Linalyl acetate (natural),Synthetic linalyl acetate,1
Fish (Wild salmon),Farm-raised Atlantic salmon (Salmo salar),1
Liquor,Methyl alcohol,1
Liquors,Methanol,1
Fish (White tuna),"Escolar (Lepidocybium
flavobrunneum)",1
Galbanum resinoid (Ferula galbaniflua),"beta-Pinene, undecatrienes",1
Lactose*,Melamine,1
Lime oil*,Non-authentic citrus oil,1
Fruit juices (general),High-fructose syrup,1
Lentils (Lens culinaris L.),Common vetch (Vicia sativa L.),1
Flax seed oil,Corn oil,1
Lavender oil* (Lavandula angustifolia),Spike lavender oil (Lavandula latifolia),1
Lavender oil* (Lavandula angustifolia),Ho oil rectified (Cinnamomum spp.) and acetylated ho or acetylated lavandin oils,1
Lemon juice,Bergamot juice (Citrus bergamia Risso and Poit.),1
Fruit juice,Sugar syrup,1
Lemon juice,Citric acid (C4 or paraffin derived),1
Lemon juice,Juice from non-authentic botanical origin,1
Lemon juice,Mixture of sugars (C4 derived),1
Fruit juice,Citric acid from non-authentic source,1
Fish (White fish),Tilapia (Oreochromis niloticus),1
Fresh fruits,Carbide,1
Lemon juice,Sugar,1
Lemon oil*,Non-authentic citrus oil,1
Frankfurters,Dog (canine) meat,1
Lemon oil* (Citrus limon),Expressed lime or grapefruit oil,1
Flounder,Catfish,1
Lemon oil* (Citrus limon),"Orange terpenes, lemon terpenes, and by-products (e.g., steam-stripped lemon oil)",1
Lemongrass oil* (Cympogon spp.),Citral,1
Flax seed oil,Soybean oil,1
Flax seed oil,Oil from non-authentic botanical origin,1
Lentils,Dyes,1
Lavender oil* (Lavandula angustifolia),Lavandin (Lavandula x intermedia) oil varieties,1
Lard oil,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Fruit puree,Fruit from non-authentic botanical origin,1
Fresh fruits,Oxytocin,1
Malt extract,Corn syrup,1
Fish (White fish),"Escolar (Lepidocybium
flavobrunneum)",1
Fennel seeds (whole),Synthetic color additives,1
Fish,Formaldehyde,1
Fish,Non-authentic species,1
Fish,Urea,1
Fish (Black cod),Sablefish (Anaplopoma finbira),1
Fish (Bluefish),Herring,1
Fish (Catfish),Asian basa,1
Fish (Cod),Alaskan pollack,1
"Fish (Cod, North Sea)","Cod, Baltic Sea",1
Fish (Grouper),Catfish,1
Fish (Grouper),"King mackerel (Scomberomorus
cavalla)",1
Fish (Grouper),"Pangasius ""catfish"" (Pangasius
hypophthalmus)",1
Fish (Grouper),Weakfish (Cynoscion albus),1
Fish (Grouper),Whiting,1
"Fish (Grouper, wild)",Catfish,1
Maple syrup,Beet medium invert syrup,1
Fish,Fish of non-authentic species,1
Fennel powder,Turmeric powder,1
Locust bean gum*,Konjac gum,1
Maple syrup,Cane invert syrup,1
Marzipan,Chickpea,1
Essential oils (general),"Diluent solvents including: Abitol, benzyl alcohol, benzyl benzoate, carbitol (diethylene glycol monoethyl ether), diacetone alcohol, dipropylene glycol, dipropylene glycol methyl ether and tripropylene glycol methyl ether, hydrogenated methyl ester of ro",1
Essential oils (general),Oil from non-authentic botanical/varietal origin,1
Estragole (natural),Synthetic estragole,1
Ethyl butyrate (natural),Synthetic ethyl butyrate,1
Eucalyptus oil*,"Cinnamomum camphora (var. cineole type) fractions (1,8-cineole rich)",1
Marzipan,Cashew,1
Evening primrose oil,Oil from non-authentic botanical origin,1
Falanghina monovarietal grape wine,Grape wine from non-authentic botanical origin,1
Marzipan,Apricot kernels,1
Maple syrup,Sugar and water,1
Maple syrup,High-fructose corn syrup,1
Fennel,Carmoisine,1
Fennel,Tartrazine,1
Maple syrup,Corn sugar,1
"Fish (Grouper, wild)",Grouper (farm-raised),1
Fish (Halibut),Sea bass,1
Maple syrup,Beet invert syrup,1
Mango juice,Sucrose,1
"Fish (Salmon, Pacific, wild)","Salmon (Atlantic, farm-raised)",1
Mandarin oil*,Non-authentic essential oil,1
Mandarin oil*,Non-authentic citrus oil,1
Fish (Sand dab),Flathead sole,1
Fish (Sea bass),Hake or coley fish,1
"Fish (Sea bass, Chilean)",Patagonian toothfish,1
Fish (Snapper),Tilapia (Oreochromis niloticus),1
Garlic oil (natural),Low-quality garlic oil combined with diallyl sulfide compounds,1
Fish (Snapper),Tilapia (Oreochromis sp.),1
Fish (Sole),Catfish,1
Macadamia nut oil,Oil from non-authentic botanical origin,1
Locust bean gum*,Tara gum,1
"Fish (Tilapia, USA)",Tilapia (Chinese),1
"Fish (Tuna, sushi-grade)",Skipjack,1
"Fish (Tuna, white)",Tilapia,1
"Fish (Salmon, Atlantic, wild)",Salmon (farm-raised),1
"Fish (Red snapper, Pacific)",Rockfish,1
"Fish (Red snapper, Lutjanus campechanus)",Seabream (Pagrus major),1
Fish (Red snapper),Lane snapper (Lutjanus synagris),1
Fish (King salmon),Atlantic salmon (Salmo salar),1
Fish (Mahi-mahi),Yellowtail fish,1
Fish (Monkfish),Hake or coley fish,1
Mango juice,Mango juice from non-authentic botanical origin,1
Fish (Orange roughy),John Dory,1
Mango juice,Juice from non-authentic fruit,1
Fish (Red snapper),Non-authentic fish species,1
Fish (Red snapper),Tilapia or white bass,1
Fish (Red snapper),"Pacific dog snapper (Lutjanus
novemfasciatus)",1
Mango,Formaldehyde,1
Fish (Red snapper),Pacific rockfish,1
Fish (Red snapper),Silk snapper,1
Fish (Red snapper),Tilapia,1
Mango,Calcium carbide,1
Game meat sausage,Non-authentic meat species,1
Honey,Fructose and glucose mixture,1
Garlic oil* (Allium sativa),"Aliphatic sulphide mixtures containing 2-propenyl disulphide, and 1-propenyl disulphide",1
Groundnut oil,Caster oil,1
Ground melon seeds (Agushie),Wheat flour,1
Ground nut paste,Cassava flour,1
Ground nut paste,Cooking oil,1
Ground nut paste,Corn flour,1
Honey,Inverted syrup,1
Ground nut paste,Pear seed,1
Groundnut oils,Cottonseed oil,1
Honey,Invert sugar,1
Grouper,Asian catfish (China basa),1
Honey,Inverted sugar,1
Grouper,Farm raised Asian catfish,1
Grouper,Lake Victoria perch,1
Honey,Inverted cane syrup,1
Honey,Inverted cane sugar,1
Ground melon seeds (Agushie),Ground nut flour,1
Ground melon seeds (Agushie),Corn flour,1
Honey,Isoglucose syrup,1
Ground meat (mutton),Ground pork meat,1
Ground meat (chicken),Ground pork meat,1
Ground meat (chevon),Ground pork meat,1
Ground meat (beef),Ground pork meat,1
Honey,Mixture of glucose and fructose,1
Honey,Molasses,1
Green rice,Malachite green,1
Green chillies,Malachite green,1
Honey,Partial invert cane syrup,1
Grapeseed oil,Copper chlorophyllin,1
Honey,Rice syrup,1
Grapefruit seed extract,Triclosan,1
Grapefruit seed extract,Propyl p-hydroxybenzoate (Antimicrobial compound),1
Grapefruit seed extract,Methyl p-hydroxybenzoate,1
Grouper,Malchite green,1
Grouper,Vietnamese catfish (swai),1
Labdanum oil* (Cistus landiferus),Abitol with small amounts of ambroxan and p-methyl acetophenone to enhance odour,1
Honey,Glucose and fructose,1
Hazelnut paste,Soybean oil,1
Honey,Honey from non-authentic botanical or geographic origin,1
Hempseed oil,Oil from non-authentic botanical origin,1
Ho-leaf oil,Synthetic or semi-synthetic linalool,1
Honey,Beet medium invert sugar,1
Honey,High-fructose inulin syrup,1
Honey,Cane or corn sugars,1
Eggs,Melamine and related compounds,1
Honey,Cane sugar syrup,1
Honey,Glucose,1
Honey,"Corn syrup, inverted syrups, or high-fructose corn syrup",1
Honey,Fructose syrup,1
Honey,Dextrose syrup,1
Honey,Essential oils,1
Hazelnut paste,Peanut oil,1
Hazelnut paste,High oleic-acid sunflower oil,1
Hazelnut paste,Corn oil,1
Hairy crabs (Yangcheng Lake),Non-authentic geographic origin,1
Honey,Honey from non-authentic geographic region,1
Haddock,Whitting,1
Honey,Honey of non-authentic botanical or geographic origin,1
Gum arabic* (Acacia senegal),Gum from Combretum erythrophyllum,1
Honey,Honey of non-authentic geographic origin),1
Guar gum*,Tara gum,1
Honey,Honey with chloramphenicol,1
Honey,Industrial sugar syrups,1
Honey,Invert cane sugar,1
Guar gum*,Konjac gum,1
Guar gum*,Fenugreek gum,1
Guar gum*,Carboxymethyl-cellulose,1
Grouper (Epinephelus guaza),Wreck fish (Polyprion americanus) or Nile perch (Lates niloticus),1
Honey,Solution of d-fructose and d-glucose,1
Grapefruit seed extract,C16 Benzalkonium chloride (Antimicrobial compound),1
Honey,Sucrose,1
Gin,Water,1
Juniper berries oil* (Juniperus communis var. erecta),"Terpene hydrocarbon mixtures containing a-pinene and d-3-carene, also Juniper branch oil and second grade oils from spoiled Juniper berries",1
Juice,"Mixture of water, sweeteners, and preservatives",1
Ghee,Synthetic colors,1
Ghee,Vanaspati (hydrogenated vegetable fat),1
Ghee,Vegetable margarine,1
Juice,Mixture of water and sweeteners,1
Juice,Colorants,1
Grapefruit seed extract,C14 Benzalkonium chloride (Antimicrobial compound),1
Ginger,Artificially colored filler,1
Jelly,Di-2-ethylhexyl phthalate (DEHP),1
Ginko,Kaempferol,1
Ginko,Non-authentic botanical ingredients with flavanoids,1
Jam,Di-2-ethylhexyl phthalate (DEHP),1
Jaggery,Metanil yellow,1
Khoa,Paper,1
Ghee,Palm oil,1
Khoa,Urea,1
Honey,Fructose,1
Khoa (mawa),Dry milk,1
Ghee,"Mixture of soybean oil, vegetable oil, butter and turmeric",1
Ghee,"Mixture of beef-tallow, stearine, and flavor",1
Ghee,Mash potato,1
Ghee,Hydrogenated vegetable oil,1
Khoa (mawa),Refined oil,1
"Geranium oil, Chinese (Pelargonium hybrids)",Indian geranium oil,1
Gelatine (Porcine),Gelatine (Bovine),1
Khoa (mawa),Vegetale oil,1
Gelatine (Bovine),Gelatine (Porcine),1
Khoya,Refined oil,1
Khoya,Starch,1
King boletus mushroom (Boletus edulis),Mushroom of non-authentic botanical origin (Suillus luteus),1
Inulin,Free glucose or sucrose,1
Ginko,Quercetin,1
Ginseng,Ginseng of non-authentic botanical origin,1
Infant formula,Melamine,1
Grapefruit seed extract,C12 Benzalkonium chloride (Antimicrobial compound),1
Honey,Sucrose solution,1
Honey,Sucrose syrup,1
Grapefruit seed extract,Benzethonium chloride,1
Honey,"Sugar syrups from corn, sugar cane, sugar beet, and maple syrup",1
Grapefruit oil* (Citrus paradisi),Orange terpenes or sweet orange oil distilled and minor amounts of (+)-nootkatone,1
Grapefruit oil*,Non-authentic citrus oil,1
Grapefruit juice,Juice from non-authentic botanical origin,1
Honey,Synthetic honey composed of water and non-authentic sweeteners,1
Honey (botanical origin specific),Honey of non-authentic botancial origin,1
Grape wine (Vitis vinifera),Sorbitol,1
Grape wine (Vitis vinifera),Must concentration,1
Grape wine (Vitis vinifera),Elderberry pigments,1
Ice cream,Washing powder,1
Grape wine (Vitis vinifera),Black rice pigment,1
Ginseng,Sawdust and jiegeng (Platycodon grandiflorum),1
Grape wine (Vitis vinifera),Apple juice,1
Grape musts (concentrated rectified),Sugars,1
Instant coffee (soluble coffee),Caramelized sugar,1
Grape juice,Juice from non-authentic fruit,1
Instant coffee (soluble coffee),Cereals,1
Grains,"Sand, marble, or stones",1
Gonger pike,Catfish,1
Goat's cheese,Cow's cheese,1
Instant coffee (soluble coffee),Coffee husk,1
"Ginseng, notoginseng (Panax notoginseng)",Ginseng of non-authentic botanical origin,1
"Ginseng, Chinese (Panax ginseng)","Ginseng, American (Panax quinquefolius)",1
Instant coffee (soluble coffee),Malt,1
Instant coffee (soluble coffee),Maltodextrin,1
"Ginseng, American (Panax quinquefolius)","Ginseng, Chinese (Panax ginseng)",1
Elemi oil (Canarium luzonicum),alpha-Phellandrene and limonene,1
gamma- or delta-decalactone (natural),Synthetic gamma- or delta-decalactone,1
Eel,Fish of non-authentic species,1
Canola oil,Reprocessed industrial rapeseed oil containing aniline,1
Blood orange juice,Orange juice from non-authentic botanical origin,1
Blueberry juice,Juice of non-authentic botanical origin,1
Bluefin tuna (Thunnus thynnus),Bigeye tuna (Thunnus obesus),1
Bluefish,Non-authentic fish species,1
Bois de rose essential oil*,Synthetic or semi-synthetic linalool,1
Borage oil,Oil from non-authentic botanical origin,1
Brandy,"Ethanol, methanol, or water",1
Buchu leaf oil (Barosma betulina and B. crenulata),"Monoterpene sulphide fractions synthesised from the hydrogen sulphide treatment of pulegone, including p-menthan-8- thiol-3-one",1
Buffalo meat (Bubalus bubalis),Beef meat (Bos indicus),1
Burgers,Undeclared animal and plant proteins,1
Butter,Butter of non-authentic geographic origin,1
Butter,Hydrogenated fats,1
Butter,Hydrogenated vegetable oil,1
Butter,Non-authentic fat,1
Butter,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Butter,Vegetable oils,1
Calcium benzoate*,Calcium propionate,1
Camelina sativa oil,Oil from non-authentic botanical origin,1
Camellia seed oil,Corn oil,1
Camellia seed oil,Maize oil,1
Camellia seed oil,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Canned meat products,Soybean,1
Canned tuna,Bonito (Euthynnus affinis),1
Blended oil,Cottonseed oil,1
Blackcurrant juice,Juice of non-authentic botanical origin,1
Blackberry juice concentrate,Plum juice,1
Black pepper,Millet,1
Black cohosh (Actaea racemosa L.),Asian Actaea species,1
Black cohosh (Actaea racemosa),Other Actea and Cimicifuga species,1
Black currant juice,Strawberry juice,1
Black currant oil,Oil from non-authentic botanical origin,1
Black pepper,Artificially colored filler,1
Black pepper,Artificially colored non-authentic seed,1
Black pepper,Buckwheat,1
Black pepper,Buckwheat flour,1
Black pepper,Colored seeds from non-authentic plant,1
Black pepper,Juniper berry,1
Black pepper,Millet seeds,1
Black tea,Stachytarpheta jocaicensis,1
Black pepper,Papaya or other non-authentic plant seeds,1
Black pepper,Spent black pepper meal,1
Black pepper (ground),Starch,1
Black pepper (whole),Dried fruit of West Indian Lantana (Lantana camara),1
Black pepper (whole),False black pepper (Embelia ribes),1
Black pepper (whole),Papaya seeds,1
Black pepper (whole),"Piper berries (P. attenuatum, P. galeatum)",1
Black pepper (whole),Stem and chaff of black pepper,1
Black tea,Added color,1
Black tea,Ground olive stone,1
Canned tuna,Frigate mackerel (Auxis thazard),1
Canola oil*,Beef tallow,1
Cherry juice,Juice from non-authentic fruit,1
Canola oil*,Chicken fat,1
Cayenne pepper,Ground rice,1
Cayenne pepper,Mustard seed husk,1
Cayenne pepper,Red lead,1
Cayenne pepper,Salt,1
Cayenne pepper,Sawdust,1
Cayenne pepper,Turmeric,1
Cayenne pepper,Venetian red,1
Cayenne pepper,Vermilion,1
Cedarwood oil Virginia (Juniperus virginiana),Cedarwood oil Chinese (Cupressus funebris),1
Celery seed oil* (Petroselenium crispum),Limonene and touches of alkyl phthalides,1
Cereal grains,Melamine,1
Chamomile oil* (Anthemis nobilis),Isobutyl angelate and bisabolols,1
Channa,Catfish,1
Chanterelle mushroom (Cantharellus cibarius),Mushroom of non-authentic botanical origin (Hygrophoropsis aurantiaca),1
Cheese,Melamine,1
Cheese,Soy protein,1
Cheese (Emmental),Cheese of non-authentic geographic origin,1
Cheese (caprine),Non-authentic milk (cow),1
Cheese (cow),Milk ingredients (water buffalo),1
Cheese (ewe),Non-authentic milk (cow),1
Cheese (goat),Milk ingredients (cow),1
Cheese (non-bovine animal origin),Non-authentic milk (bovine),1
Cheese (sheep),Milk ingredients (cow),1
Cayenne pepper,Artificially colored filler,1
Caviar (beluga),Salmon roe,1
Caviar (beluga),Lumpfish roe,1
Cardamom,Green dye,1
Canola oil*,Lard,1
Canola oil*,Oil of non-authentic botanical origin,1
Canola oil*,Recycled vegetable oil,1
Canola oil*,Swill or gutter oil (refined oil from recycled food and livestock waste),1
