adulterant,source,auto SMILES
"citrulline malate, beta-alanine",rasff,
citrus oils of non-authentic origin,usp,
citrus peel extract,usp,
clay,usp,
cleaning lye,rasff,
clenbuterol,ema,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
"clove fractions, eugenol, and cinnamic aldehyde",usp,
clove stem oil and isolates (eugenol) and eugenyl acetate,usp,
coagulant,ema,
cochineal color from non-authentic geographic origin,usp,
cochinela dye,usp,
cockspur grass,ema,
cocoa butter replacer,usp,
cocoa butter substitute,usp,
cocoa husks,usp,
cocoa shells,ema,
coconut hulls,usp,
coconut oil,ema,
coconut oil,usp,
cod,ema,CC(C)(CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS
cod (gadus morhua),usp,
"cod, baltic sea",usp,
coffee (robusta),usp,
coffee (robusta),usp,
coffee husk,usp,
coffee husk or cereals,usp,
coffee husk or parchment,usp,
coffee husks,usp,
coffee husks/parchment,usp,
coffee husks/parchments,usp,
coffee of non-authentic botanical origin,usp,
coffee of non-authentic geographic origin,usp,
coffee of non-authentic origin,usp,
coffee of non-authentic species,usp,
coffee twigs,usp,
collagenic animal protein,ema,
color,rasff,
color additive,usp,
color additive,fda,
color additives,usp,
color basic red 46,rasff,
color butter yellow,rasff,
color chilli sauce,rasff,
color fast garnet,rasff,
color gardenia yellow,rasff,
"color gardenia yellow, flavonoid",rasff,
color methyl yellow,rasff,
color migration,rasff,
color orange ii,rasff,
color orange rn,rasff,
color para red,rasff,
color red sandalwood extract,rasff,
color red yeast rice,rasff,
color rhodamine b,rasff,
color rose bengal,rasff,
color rosella extract,rasff,
color sudan,rasff,
color sudan 1,rasff,
"color sudan 1,sudan 3",rasff,
color sudan 3,rasff,
color sudan 4,rasff,
color sudan red b,rasff,
color toluidine red,rasff,
colorants,usp,
colorants,ema,
colored corn silk fibers,usp,
colored corn strings,usp,
colored grass,usp,
colored grass seeds,usp,
colored saw dust,usp,
colored sawdust,usp,
colored seeds from non-authentic plant,usp,
colored tea leaves,usp,
coloring agents,ema,
colors,usp,
colors,ema,
commercial glucose,ema,
common vetch (vicia sativa l.),usp,
common wheat (triticum aestivum),usp,
concrete,usp,
condemned/contaminated chicken meat,usp,
contaminated water,ema,
contaminated with dioxins,ema,
cooking oil,usp,
copper,rasff,[Cu]
"copper chelate, manganese chelate, iron amino acid chelate, zinc amino acid chelate, potassium chelate",rasff,
copper chlorophyllin,usp,
copper cholorphyllin,ema,
copper complexes of chlorophylls and chlorophyllins,ema,
copper salts,usp,
coriander,ema,
coriander husk,usp,
corn,usp,
corn,ema,
corn additives,ema,
corn derived sweeteners,usp,
corn flour,usp,
corn flour and bengal gram (cicer arietinum),usp,
corn oil,usp,
corn silk colored with red dye,usp,
corn starch,ema,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
corn sugar,ema,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
corn sugar,usp,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
corn syrup,ema,
corn syrup,usp,
corn syrup and beet or cane invert syrup,usp,
"corn syrup, inverted syrups, or high-fructose corn syrup",usp,
corn-derived vinegar,usp,
cornmint oil (mentha antensis),usp,
cornmint oil (mentha arvensis),usp,
cornmint oil from mentha arvensis var. piperascens,usp,
corrosion of,rasff,
corvina,ema,
cosmetic-grade oils,ema,
cotton,usp,
cotton seed oil,ema,
cottonseed oil,ema,
cottonseed oil,usp,
cough medicine,ema,
coumaphos (organophosphate insecticide),ema,
coumarin,rasff,O1C(=O)C=CC2=CC=CC=C12
coumarin,fda,O1C(=O)C=CC2=CC=CC=C12
counterfeit,ema,
counterfeit alcohol,ema,
counterfeit borjomi mineral water,ema,
counterfeit chocolate bars,ema,
counterfeit cocoa powder,ema,
counterfeit coffee,ema,
counterfeit cognac,ema,
counterfeit custard powder,ema,
counterfeit fruit juice,ema,
counterfeit ghee,ema,
counterfeit infant formula,ema,
counterfeit jamaican mountain blue coffee,ema,
counterfeit juice,ema,
counterfeit ketchup,ema,
counterfeit likani mineral water,ema,
counterfeit nestle milo,ema,
counterfeit oil,ema,
counterfeit red bull,ema,
counterfeit smirnoff vodka,ema,
counterfeit soft drinks,ema,
counterfeit spaghetti,ema,
counterfeit vodka,ema,
counterfeit whisky,ema,
counterfeit wine,ema,
cow tallow,usp,
cow's cheese,usp,
cow's milk,ema,
cracker meal,usp,
crawfish,ema,
crimson snapper,ema,
cristalsulphate,rasff,
crocus's yellow stamen,usp,
crushed insects,ema,
crustacean of non-authentic species,usp,
csr 30 rice,ema,
cum (or keta) salmon,ema,
cuminaldehyde,usp,O=CC1=CC=C(C(C)C)C=C1
curcuma (curcuma longa l.),usp,
curcuma zedoaria,usp,
curcuma zedoaria powder,usp,
curcumin,rasff,COC1=CC(=CC=C1O)\C=C\C(=O)CC(=O)\C=C\C1=CC=C(O)C(OC)=C1
curcumin,usp,COC1=CC(=CC=C1O)\C=C\C(=O)CC(=O)\C=C\C1=CC=C(O)C(OC)=C1
curcumin dye,usp,
curuma,usp,
cyanamide,usp,N#CN
cyanide,ema,[C-]#N
cyanide,rasff,[C-]#N
cyanuric acid,usp,N1C(=O)NC(=O)NC1=O
cyanuric acid,ema,N1C(=O)NC(=O)NC1=O
cyclamate,rasff,O[S](=O)(=O)NC1CCCCC1
cyclamate,ema,O[S](=O)(=O)NC1CCCCC1
