adulterant,source,auto SMILES
non food-grade ingredient,rasff,
non zam zam water,ema,
non zamzam water,ema,
non-authentic aroma compounds,usp,
non-authentic botanical ingredients with flavanoids,usp,
non-authentic brand,usp,
non-authentic brand baby food,usp,
non-authentic brand coffee,usp,
non-authentic brand drink mix,usp,
non-authentic brand of chicken stock,usp,
non-authentic brand of scotch whiskey,usp,
non-authentic brand of wine,usp,
non-authentic citrus oil,usp,
non-authentic citrus oils,usp,
non-authentic country origin,usp,
non-authentic cultivar,usp,
non-authentic diluent,usp,
non-authentic essential oil,usp,
non-authentic fat,usp,
non-authentic fats,usp,
non-authentic fats or oils,usp,
non-authentic fish species,usp,
"non-authentic fruit juice concentrates such as mulberry, fig, and carob bean",usp,
non-authentic geographic origin,usp,
"non-authentic herbs (e.g., savory, thyme)",usp,
non-authentic juice,usp,
"non-authentic juices (e.g., grapefruit juice)",usp,
"non-authentic juices, sugars, and acids",usp,
non-authentic leaves,usp,
"non-authentic leaves (e.g., sumac, cistus)",usp,
non-authentic linalool and linalyl acetate,usp,
non-authentic manufacturer,usp,
non-authentic material,usp,
non-authentic materials,usp,
non-authentic meat species,usp,
non-authentic milk (bovine),usp,
non-authentic milk (cow),usp,
"non-authentic milk species (ovine, bovine, caprine, and water buffalo)",usp,
non-authentic oil,usp,
non-authentic oils,usp,
non-authentic oils and fats,usp,
non-authentic olive oils,usp,
non-authentic organic acids,usp,
non-authentic rice variety,usp,
non-authentic species,usp,
non-authentic species dyed with tartrazine and ponceau 2r,usp,
non-authentic species of fish,usp,
non-authentic spirit or geographic origin,usp,
non-authentic spirits,usp,
non-authentic substances,usp,
non-authentic sugars,usp,
non-authentic sweeteners,usp,
non-authentic varietal,usp,
non-authentic variety,usp,
non-authentic vodka,usp,
non-authentic wine,usp,
non-dairy fats and oils,usp,
non-dioxin-like polychlorobifenyls,rasff,
non-edible ghee,ema,
non-edible oils mixed with butter yellow and artificial flavor,usp,
non-food grade milk powder,ema,
non-free range eggs,ema,
non-halal beef,ema,
non-hungarian paprika,ema,
non-italian oils,ema,
non-kona coffee beans,ema,
non-kosher certified olive oil,ema,
non-maryland blue crab,ema,
non-organic alfalfa,ema,
non-organic barley,ema,
non-organic corn,ema,
non-organic eggs,ema,
non-organic field beans,ema,
non-organic field peas,ema,
non-organic grain,ema,
non-organic ingredients,ema,
non-organic linseed,ema,
non-organic milk,usp,
non-organic millet,ema,
non-organic oats,ema,
non-organic pork,ema,
non-organic potatoes,ema,
non-organic rapeseed,ema,
non-organic sorghum,ema,
non-organic soybeans,ema,
non-organic sunflower,ema,
non-organic wheat,ema,
non-parmesan cheese,ema,
non-permitted grape varieties,ema,
"non-pomegranate anthocyanins from aronia, grape skin, elderberry, black currant, or black carrot",usp,
non-potable water,usp,
non-spanish saffron,ema,
non-stamen crocus parts,ema,
non-stigma parts of crocus sativus linnaeus,usp,
non-wild honey,ema,
non-wuchang rice,ema,
none,ema,
nonvolatile residue of grapefruit oil,usp,
nonvolatile residue of lime oil,usp,
noodles with less than 50% rice,ema,
nor-acetildenafil,rasff,
norbixin,usp,CC(=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C(O)=O)/C=C/C=C(C)/C=C/C(O)=O
nordihydroguaiaretic acid,rasff,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc2ccc(O)c(O)c2
norfloxacin,ema,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(cc12)N3CCNCC3
not specified,ema,
novel food,rasff,
"novel food ingredient achyranthes aspera, potassium aspartate",rasff,
novel food ingredient betaine,rasff,
"novel food ingredient betaine, tocotrienol, methylcobalamin",rasff,
novel food ingredient creatine derivative,rasff,
novel food ingredient epimedium,rasff,
novel food ingredient ginseng,rasff,
novel food ingredient gymnema syvestre,rasff,
novel food ingredient gynostemma pentaphyllum,rasff,
"novel food ingredient gynostemma pentaphyllum, novel food ingredient milk thistle",rasff,
"novel food ingredient hemidesmus indicus, novel food ingredient hydrastis canadensis",rasff,
novel food ingredient mucuna pruriens,rasff,
"novel food ingredient rhodiola rosea, citrulline",rasff,
"nutmeg terpenes, a-pinene, limonene, and turpentine fractions",usp,
nutrients,rasff,
nuts of non-authentic botanical or geographic origin,usp,
o. vulgaris,ema,
octopamine hydrochloride,rasff,
octopus vulgaris,ema,
offal,usp,
oil,usp,
oil from non-authentic botanical origin,usp,
oil from non-authentic botanical origin rich in linoleic acid,usp,
oil from non-authentic botanical/varietal origin,usp,
oil from non-authentic origin,usp,
oil from non-authentic species,usp,
oil made from animal carcass and fat,ema,
oil of non-authentic botanical origin,usp,
oil residues from cold extraction of bergamot,usp,
oil residues from cold extraction of bergamot combined with synthetic compounds,usp,
oil-contaminated cocoa beans,rasff,
oil-contaminated pe-hd granules,rasff,
oil-pollution,rasff,
oil-soluble coloring agent,ema,
oils of non-authentic botanical or geographic origin,usp,
oils of non-authentic botanical origin,usp,
oils of non-authentic origin,usp,
oleic acid,ema,C(CCCCCCC\C=C/CCCCCCCC)(=O)O
olive leaves,ema,
olive oil,usp,
olive oil from non-authentic botanical origin,usp,
olive oil from non-authentic geographic origin,usp,
olive oil of non-authentic geographic origin,usp,
olive oil or olive pomace oil,usp,
olive oil with a high free fatty acid content,ema,
olive oils of non-authentic botanical or geographic origin,usp,
olive oils of non-authentic geographic origin,usp,
olive pomace oil,ema,
olive pomace oil,usp,
olives (coquillo cultivar),usp,
olives (leccino cultivar),usp,
onion dyed with ecosin,usp,
opah,ema,
opium,ema,
opium poppy seeds,ema,
optical whitener,ema,
orange juice from non-authentic botanical origin,usp,
orange juice of non-authentic geographic origin,usp,
orange pulp wash,ema,
orange pulpwash,ema,
orange pulpwash,usp,
orange pulpwash plus synthetic sugar/acid mixture,usp,
orange terpenes or sweet orange oil distilled and minor amounts of (+)-nootkatone,usp,
"orange terpenes, lemon terpenes, and by-products (e.g., steam-stripped lemon oil)",usp,
organic germanium,rasff,
organic/rotten tomatoes,ema,
orthophenylphenol,rasff,C1(=CC=CC=C1)C1=C(C=CC=C1)O
"other ""non natural"" ingredients",ema,
other actea and cimicifuga species,usp,
other beef types,ema,
other chemicals,ema,
"other citrus leaf oils and fractions, fatty aldehydes, linalyl acetate, and orange terpenes",usp,
other fish species,ema,
other game meats,ema,
other meats,ema,
other varieties of cheese,ema,
ouzo,rasff,
overdosage with nicotinic acid,rasff,
ovine,ema,
ox offal tissue (kidney or liver),usp,
oxytocin,usp,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O
oxytocin,ema,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O
p-aminobenzoic acid,usp,NC1=CC=C(C(=O)O)C=C1
"pacific dog snapper (lutjanus
novemfasciatus)",usp,
pacific ocean perch,ema,
pacific rockfish,usp,
paddlefish roe,usp,
paddlefish roe,ema,
paddy husk,ema,
palm kernel oil,usp,
palm kernel oil,ema,
palm kernel olein,usp,
palm oil,usp,
palm oil,ema,
palm oil (desterolilzed),usp,
palmolein,ema,
pampus punctatissimus,ema,
panax quinquefolius,usp,
pangasius,ema,
"pangasius ""catfish"" (pangasius
hypophthalmus)",usp,
pangasius hypophthalmus,ema,
pangasius hypophthalmus imports from vietnam,ema,
papain,rasff,
papaya or other non-authentic plant seeds,usp,
papaya seed,usp,
papaya seeds,ema,
papaya seeds,usp,
paper,usp,
paprika extract,ema,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C(=O)[C@]2(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1
paprika extract (color),usp,
paprika of non-authentic geographic origin,usp,
para red,ema,[O-][N+](=O)c1ccc(N\N=C2/C(=O)C=Cc3ccccc23)cc1
para-cymene and carvacrol,usp,CC(C)c1ccc(C)cc1.CC(C)c2ccc(C)c(O)c2
para-cymene and thymol,usp,CC(C)c1ccc(C)cc1.CC(C)c2ccc(C)cc2O
para-toluene sulphonamide,rasff,C1=C(O)C(C)=CC=C1C(C)C.C1(=CC=C(C=C1)C)C(C)C
paraffin,rasff,C1=C(C)C=CC(C(C)C)=C1O.C1(=CC=C(C=C1)C)C(C)C
paraffin coating,rasff,C1(=CC=C(C=C1)S(=O)(=O)N)C
paraffin oil,usp,
paraffin oil,rasff,
paraffin wax,usp,
paraffin wax,ema,
partial invert cane syrup,usp,
patagonian toothfish,usp,
patchouli and vetiver distillation residues,usp,
"patchouli oil, vetiver oil, and to some extent ginger oil",usp,
patent blue v,usp,[Na+].CCN(CC)c1ccc(cc1)[C+](c2ccc(cc2)N(CC)CC)c3ccc(cc3[S]([O-])(=O)=O)[S]([O-])(=O)=O
patulin,fda,OC1OCC=C2OC(=O)C=C12
pea,usp,NCCc1ccccc1
pea flour,usp,
pea protein,usp,
peach kernels,usp,
peanut,usp,
peanut flavor,usp,
peanut oil,usp,
peanut powder,ema,
peanut shell,usp,
peanut shells,usp,
peanuts,ema,
pear juice,usp,
pear seed,usp,
pecan nuts,rasff,
penicillin,ema,[Na].CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(O)=O
pentapotassium triphosphate,rasff,[O-]P([O-])(=O)OP(=O)([O-])OP(=O)([O-])[O-].[K+].[K+].[K+].[K+].[K+]
perch,ema,
perchlorate,rasff,Cl(=O)(=O)(=O)[O-]
perilla oil,usp,
peroxide,rasff,
peroxide value,rasff,
"persipan (mixture of bitter almonds, apricot, or peach kernels)",usp,
pesticide,fda,
pesticide residues,rasff,
pet food,ema,
petals of carthamus tinctorius l. or calendula officinalis l.,usp,
petals of cynara cardunculus mixed with glyceroborate and potassium nitrate and color with red dye,usp,
petitgrain oil terpeneless (citrus aurantium subsp. aurantium),usp,
petroleum,usp,
petroleum hydrocarbons,rasff,
phaseolus vulgaris beans,usp,
phenolphthalein,rasff,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4
phenoxyethanol,rasff,O(C1=CC=CC=C1)C(C)O
phenylalanine,rasff,N[C@@H](CC1=CC=CC=C1)C(=O)O
phenylalanine,usp,N[C@@H](CC1=CC=CC=C1)C(=O)O
phosphate,rasff,P(=O)([O-])([O-])[O-]
phosphates,ema,
phosphoric acid,rasff,P(O)(O)(O)=O
phosphoric acid,ema,P(O)(O)(O)=O
picric acid color,usp,
pig fat,usp,
pig hearts,ema,
pig offal,ema,
pig's blood,ema,
pigments,ema,
pilocarpine hydrochloride,ema,[Cl-].CC[C@H]1[C@H](COC1=O)Cc2cncn2C.[H+]
pineapple juice,usp,
pink ear emperor,ema,
"piper berries (p. attenuatum, p. galeatum)",usp,
piperidenafil,rasff,
pistachio,usp,
plain caramel,rasff,
plant hormone,ema,
plant material,ema,
plant parts,rasff,
plant proteins,usp,
plastic,usp,
plum fruit (prunus salicina),usp,
plum juice,usp,
plum puree,usp,
plum sclereids,ema,
polish ham,ema,
pollachius virens,ema,
pollack,ema,
pollock,ema,
polybutadiene,rasff,C\C=C\C
polychlorobifenyls,rasff,
polycyclic aromatic hydrocarbons,rasff,
polycyclic aromatic hydrocarbons (pahs),ema,
polyphosphates,rasff,
polysorbates,rasff,
pomegranate fiber,usp,
ponceau 4r,usp,[Na+].[Na+].[Na+].[O-][S](=O)(=O)c1cc2C=CC(=O)\C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)c2c(c1)[S]([O-])(=O)=O
ponceau 4r / cochineal red a,rasff,
poor quality infant formula,ema,
poplar tree gum,usp,
poppy petals,usp,
porcine,ema,
porcine bones,ema,
porcine gristle,ema,
pork,usp,
pork,ema,
pork fat,usp,
pork from diseased pig,ema,
pork jowl,ema,
pork lard,usp,
pork marinated in beef extract and glazing agent,usp,
pork meat,ema,
pork meat,usp,
portuguese sole [synaptura lusitanica],ema,
possible canola oil,ema,
possible low quality oil,ema,
possible rapeseed oil,ema,
potassium aspartate,rasff,N[C@@H](CC(=O)[O-])C(=O)[O-].[K+].[K+]
potassium dichromate,ema,[Cr](=O)(=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+]
potassium ferrocyanide,rasff,[Fe-4](C#N)(C#N)(C#N)(C#N)(C#N)C#N.[K+].[K+].[K+].[K+]
potassium hydroxide,usp,[OH-].[K+]
potassium nitrate,usp,[N+](=O)([O-])[O-].[K+]
potassium sorbate,rasff,C(\C=C\C=C\C)(=O)[O-].[K+]
potassium sorbate,ema,C(\C=C\C=C\C)(=O)[O-].[K+]
potato,ema,
potato flour,usp,
potato products,rasff,
potato starch,usp,
potatoes,ema,
potentially depc,ema,
potentially natamycin,ema,
potentially oleum320/idea,ema,
poultry,ema,
powdered coloring agent,ema,
powdered horse dung,usp,
powdered stone,usp,
powdered ziziphus nummularia fruit,usp,
prepared dishes,rasff,
preservatives,ema,
previously used tea leaves,usp,
printing chemicals,ema,
prionace glauca [market names: shark or blue shark],ema,
processed animal fat (gutter oil),usp,
processed animal proteins,usp,
progesterone,rasff,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
proline,usp,N1[C@H](C(=O)O)CCC1
propionic acid,rasff,C(CC)(=O)O
propolis of non-authentic geographic origin,usp,
propyl p-hydroxybenzoate,rasff,OC1=CC=C(C(=O)OCCC)C=C1
propyl p-hydroxybenzoate (antimicrobial compound),usp,
propylene glycol,rasff,C(C(C)O)O
prostrate knotweed,ema,
protein,rasff,
protein powder,usp,
prussian blue,usp,
pseudomonas aeruginosa,rasff,
pseudoplastytoma tigrinum [common name caparari],ema,
pseudovardenafil,rasff,
puffer fish,ema,
puffer fish,usp,
pulverized lime,ema,
pulverized lime,usp,
pumpkin puree,usp,
pure alcohol,ema,
putna rice,ema,
pvc,rasff,ClC=C
quercetin,usp,Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(O)c(O)c3)O
quicksilver,rasff,[Hg]
quinoline dye,usp,
quinoline yellow,rasff,[Na+].[Na+].[O-][S](=O)(=O)c1cc2ccc(nc2c(c1)[S]([O-])(=O)=O)C3C(=O)c4ccccc4C3=O
quinoline yellow,usp,[Na+].[Na+].[O-][S](=O)(=O)c1cc2ccc(nc2c(c1)[S]([O-])(=O)=O)C3C(=O)c4ccccc4C3=O
radioactive oregano,ema,
radioactive polonium,ema,
rainbow trout,ema,
raisin sweetener,usp,
rajgeera (amaranthus paniculatas),usp,
raman,usp,
rancid cooking oil,usp,
rape,ema,
rapeseed oil,usp,
rat,ema,
rat meat and fox meat,usp,
rat poison,ema,
reconstituted bergamot oil,usp,
reconstituted milk powder,usp,
reconstituted orange juice,usp,
"reconstructions using damascones, beta-ionone plus -citronellol and other rose alcohols, plus rose steroptenes",usp,
recovered oils,usp,
recycled vegetable oil,usp,
red 2g,usp,[Na+].[Na+].CC(=O)Nc1cc(cc2C=C(\C(=N/Nc3ccccc3)C(=O)c12)[S]([O-])(=O)=O)[S]([O-])(=O)=O
red 2g,rasff,[Na+].[Na+].CC(=O)Nc1cc(cc2C=C(\C(=N/Nc3ccccc3)C(=O)c12)[S]([O-])(=O)=O)[S]([O-])(=O)=O
red clay,usp,
red currant juice,usp,
red grape juice,usp,
red lead,usp,O=[Pb].O1O[Pb]O[Pb]O[Pb]1
red oxide paint,ema,
red pigment,ema,
red vetch [blanche fleur (v. sativa)],usp,
red wine,rasff,
red wine of non-authentic botanical origin,usp,
red-dyed silk fiber,usp,
refined beef tallow,usp,
refined edible oil,usp,
refined oil,usp,
refined oil,ema,
refined oils,usp,
refined olive oil,ema,
refined palm stearin,usp,
refined rice bran oil,usp,
refined vegetable oil,ema,
regular fat and calorie cinnamon rolls,ema,
regular fat and calorie cookies,ema,
regular fat and calorie doughnuts,ema,
reinhardtius hippoglossoides,ema,
rennet whey proteins,usp,
reprocessed industrial rapeseed oil containing aniline,usp,
residue level above mrl for copper,rasff,
resin,usp,
resin,ema,
rhodamine b,usp,[Cl-].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC
rhodamine b,rasff,[Cl-].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC
rhodamine b,ema,[Cl-].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC
rhubarb compote,usp,
ribe rice,ema,
rice,ema,
rice brawn oil,ema,
rice flour,ema,
rice flour,usp,
rice from heilongjiang province,ema,
rice from hubei province,ema,
rice from jiangsu province,ema,
rice from non-authentic botanical origin,usp,
rice from non-authentic geographic origin,usp,
rice granules,ema,
rice husk and castor oil base,usp,
rice husk and wood fiber,usp,
rice of non-authentic botanical origin,usp,
rice powder,usp,
rice starch,usp,
rice sugar,ema,
rice syrup,usp,
road salt,usp,
roasted barley,usp,
roasted beans,usp,
roasted corn,usp,
roasted date seeds,usp,
roasted grains,usp,
roasted soybeans,usp,
"roasted, ground barley",usp,
"roasted, ground corn",usp,
"roasted, ground parchment",usp,
robusta coffee,usp,
rockfish,usp,
rockfish,ema,
rocu dye,ema,
root of non-authentic botanical origin,usp,
roots of allium porrum l.,usp,
rose snapper,ema,
rosin and petroleum,usp,
rotten fruit,ema,
rotten pork,ema,
rotten wheat,ema,
royal jelly produced from non-authentic saccharide sources,usp,
rubbing alcohol,ema,CC(C)O
russian caviar,ema,
rye flour,usp,
sablefish (anaplopoma finbira),usp,
saccharin,rasff,S1(=O)(=O)NC(=O)C2=CC=CC=C12
saccharin,ema,S1(=O)(=O)NC(=O)C2=CC=CC=C12
saccharin sodium,ema,[Na].S1(=O)(=O)NC(=O)C2=CC=CC=C12
saccharine,ema,S1(=O)(=O)NC(=O)C2=CC=CC=C12
"saffron impregnated with syrups, glycerin, or oils",usp,
saffron of non-authentic geographic origin,usp,
saffron petals,usp,
"saffron stamens or styles, or stigmas from other crocus species such as marigolds",usp,
saffron with artificially increased water content,usp,
saigon beer,ema,
saithe,ema,
"saithe (pollachius
virens)",usp,
salicylic acid,ema,OC(=O)c1ccccc1O
salicylic acid,rasff,C(C=1C(O)=CC=CC1)(=O)O
salicylic acid,usp,C(C=1C(O)=CC=CC1)(=O)O
"salmon (atlantic, farm-raised)",usp,C(C=1C(O)=CC=CC1)(=O)O
salmon (china origin),usp,
salmon (chinese),usp,
salmon (farm-raised),usp,
salmon roe,usp,
salmonella,ema,
salmonella,fda,
salmonella enteriditis,ema,
salmonella hadar,rasff,
salmonella typhimurium bacteria,ema,
salt,usp,[Na+].[Cl-]
salt,ema,[Na+].[Cl-]
salt,rasff,[Na+].[Cl-]
salted boneless skinless chicken breast contaminated with diesel oil during transport,rasff,
saltpeter,usp,[K+].[O-][N+]([O-])=O
samak,ema,
sand,usp,O=[Si]=O
sand,ema,O=[Si]=O
sand and talcum,usp,
sand sole,ema,
"sand, marble, or stones",usp,
sandalwood dye,usp,
sandalwood terpenes and sandalwood fragrance chemicals,usp,
sandlewood dust,usp,
sardines,usp,
saw dust,usp,
sawdust,usp,
sawdust and jiegeng (platycodon grandiflorum),usp,
scallop-flavored seafood nuggets,ema,
scamp grouper,ema,
scented and colored resin,usp,
sciaenidae,ema,
scomberomorus niphonius,ema,
sea bass,usp,
seabream (pagrus major),usp,
sedatives,ema,
seed oil,usp,
seed oil,ema,
seed oils,usp,
seignette's salt,usp,
selenium,rasff,[Se]
semicarbazide,rasff,NNC(=O)N
semicarbazide,usp,NNC(=O)N
"semolina, rice flour, and sodium bicarbonate",usp,
semoline,ema,
senegalese sole,ema,
senegalese tonguesole [cynoglossus senegalensis],ema,
senna alexandrina mill.,rasff,
serine,usp,N[C@@H](CO)C(=O)O
sesame meal,usp,
sesame oil,usp,
sesame oil of non-authentic geographic origin,usp,
sewage water,ema,
sharbetti rice,ema,
sheep meat,ema,
sheep milk,ema,
shell eggs (barn raised),usp,
shell eggs (caged),usp,
shell eggs (conventional),usp,
shell eggs of non-authentic geographic origin,usp,
shigella,fda,
shiraz wine of non-authentic geographic origin,usp,
shortfin mako shark,ema,
shovelnose sturgeon,ema,
shrimp (chinese),usp,
shrimp from thailand,ema,
"shrimp from thailand, malaysia, or indonesia",usp,
shrimp of non-authentic geographic origin,usp,
sibutramine,rasff,CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2
sibutramine,usp,CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2
sibutramine suspected,rasff,
sildenafil,ema,CCCc1nn(C)c2C(=O)N=C(Nc12)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(C)CC4
sildenafil,rasff,CCCc1nn(C)c2C(=O)N=C(Nc12)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(C)CC4
sildenafil thiono analogue,rasff,
"sildenafil thiono analogues, tadalafil",rasff,
"sildenafil, sildenafil thiono analogue",rasff,
silk snapper,usp,
silver,rasff,[Ag]
singhada,ema,
sinopol (a detergent),ema,
skim milk powder (reconstituted),usp,
skim milk powder (reconstituted),usp,
skimmed milk powder,usp,
skimmed milk powder,ema,
skins,ema,
skipjack,usp,
slinger seabream,ema,
smell,rasff,
smoke flavouring,rasff,
smoked hams,rasff,
smoked paprika from non-authentic geographic origin,usp,
smoked whiting,ema,
smooth amaranth,ema,
smuggled beef,ema,
smuggled beluga caviar,ema,
smuggled frozen meat,ema,
snapper,usp,
snapper,ema,
soap stone,usp,
soda,usp,O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[O-]C([O-])=O
soda lye,rasff,[OH-].[Na+]
sodium,ema,[Na]
sodium,rasff,[Na]
sodium alginate,ema,
sodium aluminium phosphate,rasff,P(=O)([O-])([O-])[O-].[Al+3].[Na+]
sodium azide,rasff,[N-]=[N+]=[N-].[Na+]
sodium benzoate,rasff,C(C1=CC=CC=C1)(=O)[O-].[Na+]
sodium benzoate fortified orange pulpwash,usp,
sodium carbonate,usp,C([O-])([O-])=O.[Na+].[Na+]
sodium carbonates,rasff,
sodium chloride,ema,[Cl-].[Na+]
sodium chloride,usp,[Cl-].[Na+]
sodium citrate,ema,C(CC(O)(C(=O)[O-])CC(=O)[O-])(=O)[O-].[Na+].[Na+].[Na+]
sodium citrate peroxide,ema,
sodium copper chlorophyllin,ema,[Na+].[Na+].[Na+].[Cu++].CCc1c(C)c2cc3[n-]c(cc4[n-]c(C(CCC([O-])=O)C4C)c(CC([O-])=O)c5nc(cc1n2)c(C)c5C([O-])=O)c(C)c3C=C
sodium cyclamate,ema,[Na+].[O-][S](=O)(=O)NC1CCCCC1
sodium dichromate,ema,[Cr](=O)(=O)([O-])O[Cr](=O)(=O)[O-].[Na+].[Na+]
sodium dodecylbenzene sulfonate,usp,C(CCCCCCCCCCC)OS(=O)(=O)C1=CC=CC=C1.[Na]
sodium erythorbate,rasff,[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O
sodium hydro sulphate,ema,
sodium hydroxide,ema,[OH-].[Na+]
sodium hydroxide,usp,[OH-].[Na+]
sodium hydroxide,rasff,[OH-].[Na+]
sodium metabisulfite,ema,S(=O)(=O)([O-])S(=O)[O-].[Na+].[Na+]
sodium metabisulfite,rasff,S(=O)(=O)([O-])S(=O)[O-].[Na+].[Na+]
sodium methyl p-hydroxybenzoate,rasff,OC1=CC=C(C(=O)OC)C=C1.[Na]
sodium nitrate,rasff,[N+](=O)([O-])[O-].[Na+]
sodium nitrite,ema,N(=O)[O-].[Na+]
sodium nitrite,rasff,N(=O)[O-].[Na+]
sodium propyl p-hydroxybenzoate,rasff,OC1=CC=C(C(=O)OCCC)C=C1.[Na]
sodium sorbate,rasff,C(\C=C\C=C\C)(=O)[O-].[Na+]
sodium sulfate,usp,S(=O)(=O)([O-])[O-].[Na+].[Na+]
sodium tripolyphosphate,ema,[Na+].[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])([O-])=O
sodium-based compound,ema,
sodium-based water retention agent and water,usp,
soft wheat,usp,
soil,ema,
sole,ema,
solution,rasff,
solution of d-fructose and d-glucose,usp,
some powders,ema,
some unknown chemicals,ema,
sorbic acid,ema,C(\C=C\C=C\C)(=O)O
sorbic acid,rasff,C(\C=C\C=C\C)(=O)O
sorbitan tristearate,rasff,CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)[C@H]1OC[C@@H](O)[C@@H]1OC(=O)CCCCCCCCCCCCCCCCC
sorbitol,usp,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
sorbitol,ema,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
"sorbitol-containing fruit juices (e.g., apple, pear, cherry, or aronia",usp,
soy,ema,
soy,usp,
soy flour,usp,
soy milk,usp,
soy oil,usp,
soy oil,ema,
soy protein,ema,
soy protein,usp,
soy sauce derived from acid hydrolyzed vegetable protein,usp,
soya,rasff,
soya oil,ema,
soybean,ema,
soybean,usp,
soybean flour,usp,
soybean meal,usp,
soybean oil,usp,
soybean oil,ema,
soybean oil (desterolilzed),usp,
soybean powder,usp,
soybean protein,usp,
soybeans,ema,
soymilk,usp,
spanish extra virgin olive oil,ema,
spanish olive oil,ema,
spent black pepper meal,usp,
spice powder from non-authentic botanical/varietal origin,usp,
spices,ema,
spike lavender oil (lavandula latifolia),usp,
spinach absolute (spinacia oleracea),usp,
spiny dogfish,ema,
spoiled pork,ema,
squalus acanthias [market names: shark,ema,
squid (dosidicus gigas),usp,
squid (eledone cirrhosa),usp,
squirefish (porgy),ema,
stachytarpheta jocaicensis,usp,
stamens of carnation species,usp,
stanozolol,rasff,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4Cc5[nH]ncc5C[C@]4(C)[C@H]3CC[C@]12C
staphylococcus,ema,
staphylococcus aureus,ema,
star anise oil (illicium verum),usp,
star-studded grouper,ema,
starch,ema,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
starch,usp,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
stearic acid,usp,C(CCCCCCCCCCCCCCCCC)(=O)O
stem and chaff of black pepper,usp,
stigma from non-authentic species of crocus,usp,
stigma of corn silk,usp,
stigmas from non-authentic crocus botanical origin (crocus vernus l.; crocus especiousus l.),usp,
stinking chamomile,ema,
stolen baby food,ema,
stolen baby formula,ema,
stolen california walnuts,ema,
stolen infant formula,ema,
stolen liquor,ema,
stolen maple syrup,ema,
stolen muenster cheese,ema,
stolen strawberries,ema,
stolen wine,ema,
stone powder,ema,
stone powder and chalk,usp,
straw,ema,
strawberry juice,usp,
striped catfish [pangasianodon hypophthalmus],ema,
strontium,rasff,[Sr]
strychnine,rasff,O=C1CC2OCC=C3CN4CCC56C4CC3C2C5N1c7ccccc67
sturgeon caviar,ema,
styrene,rasff,C=CC1=CC=CC=C1
sub-standard rice,ema,
substandard mawa,ema,
substandard oil,ema,
substandard oil,usp,
substandard sugar,ema,
substandard water,ema,
succinic acid,rasff,C(CCC(=O)O)(=O)O
sucralose,rasff,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl
