adulterant,food_category,food_product,method,produced_location,year_begin,year_end
Spanish Extra Virgin Olive Oil,Oils and Fats,Italian olive oil from Campania region,Transshipment/Origin Masking,"Western Europe, Spain",2011,2011
Spanish Olive Oil,Oils and Fats,Italian Extra Virgin Olive Oil,Transshipment/Origin Masking,"Western Europe, Italy",2015,2015
Spiny dogfish,Fish and Seafood Products,scientific name Mustelus mustelus and/or Mustelus asterias],Substitution,unknown,Unknown,2009
Spiny dogfish,Fish and Seafood Products,Palombo [also known as Common Smooth-hound,Substitution,unknown,Unknown,2009
Spoiled pork,Meat Products,pork,Intentional Distribution of Contaminated Product,"Central America and the Caribbean, Puerto Rico",2009,2010
Spoiled pork,Meat Products,Pork shoulder,Intentional Distribution of Contaminated Product,"Central America and the Caribbean, Puerto Rico",2009,2010
Squalus acanthias [market names: Shark,Fish and Seafood Products,Palombo [also known as Common Smooth-hound,Substitution,unknown,Unknown,2009
Squalus acanthias [market names: Shark,Fish and Seafood Products,scientific name Mustelus mustelus and/or Mustelus asterias],Substitution,unknown,Unknown,2009
Squirefish (Porgy),Fish and Seafood Products,Tai Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Squirefish (Porgy),Fish and Seafood Products,Scarlet Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Squirefish (Porgy),Fish and Seafood Products,Scarlet Red Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Squirefish (Porgy),Fish and Seafood Products,Pacific Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Squirefish (Porgy),Fish and Seafood Products,Lane Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Squirefish (Porgy),Fish and Seafood Products,snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Squirefish (Porgy),Fish and Seafood Products,Crimson Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Staphylococcus,Dairy Products,Cheese,Intentional Distribution of Contaminated Product,"North America, United States; North America, Mexico",2007,2007
Star-studded Grouper,Fish and Seafood Products,Black Grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Star-studded Grouper,Fish and Seafood Products,grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Stinking chamomile,Other Foods,Chia Seed,Dilution,"South America, Argentina",Unknown,2009
Stolen California Walnuts,Other Foods,Walnuts,Theft and Resale,"North America, United States",2012,2012
Stolen Wine,Alcoholic Beverages,wine,Theft and Resale,"North America, United States",2014,2014
Stolen strawberries,Produce and Legumes,Swedish strawberries,Theft and Resale,"Western Europe, Sweden",2015,2015
Striped catfish [Pangasianodon hypophthalmus],Fish and Seafood Products,Common sole [Solea solea],Substitution,"Western Europe, Germany",Unknown,2015
Sudan I,Spices and Extracts,Chili Oil,Dilution with with a non-food-grade substance,unknown,Unknown,2005
Sudan I,Spices and Extracts,chili sauce,Dilution with with a non-food-grade substance,unknown,Unknown,2005
Sudan I,Spices and Extracts,pepper sauce,Dilution with with a non-food-grade substance,unknown,Unknown,2005
Sulfur dioxide,Meat Products,beef,Artificial Enhancement,"East Asia, China",2014,2014
Sumac,Spices and Extracts,Oregano,Intentional Distribution of Contaminated Product,"Eastern Europe, Ukraine",1986,Unknown
Swai fish,Fish and Seafood Products,Basa fish,Mislabeling,"Southeast Asia, Viet Nam",2012,2012
Syrup,Honey and Other Natural Sweeteners,Manuka Honey,Mislabeling,"Oceania, New Zealand",Unknown,2013
Taurine,Food Ingredients,Whey Protein Powder,Mislabeling,"North America, United States",Unknown,2014
Tetramine,Other Foods,other snack items,Disgruntled Employee,"East Asia, China",2002,2002
Tetramine,Other Foods,fried dough sticks,Disgruntled Employee,"East Asia, China",2002,2002
Tetramine,Other Foods,Breakfast Foods,Disgruntled Employee,"East Asia, China",2002,2002
Tetramine,Other Foods,sticky rice balls,Disgruntled Employee,"East Asia, China",2002,2002
Tetramine,Other Foods,other snack items,Disgruntled Employee,"East Asia, China",2002,2002
Tetramine,Other Foods,sesame cakes,Disgruntled Employee,"East Asia, China",2002,2002
The Prince Alomo-Bitters,Alcoholic Beverages,Alomo Bitters,Counterfeit,"West Africa, Nigeria",2011,2013
Thresher,Fish and Seafood Products,Palombo [also known as Common Smooth-hound,Substitution,unknown,Unknown,2009
Thresher,Fish and Seafood Products,scientific name Mustelus mustelus and/or Mustelus asterias],Substitution,unknown,Unknown,2009
Tra fish,Fish and Seafood Products,Basa fish,Substitution,"North Africa, Egypt; Southeast Asia, Viet Nam",Unknown,2014
Tra fish,Fish and Seafood Products,Nile perch,Substitution,"North Africa, Egypt; Southeast Asia, Viet Nam",Unknown,2014
Turkish hazelnut oil,Oils and Fats,Italian olive oil,Transshipment/Origin Masking,"South America, Argentina; Middle East, Turkey",1991,1993
Turkish honey,Honey and Other Natural Sweeteners,honey,Mislabeling,"Middle East, Turkey",2006,2013
Turkish honey,Honey and Other Natural Sweeteners,honey,Mislabeling,"Middle East, Turkey",Unknown,2014
Undeclared Meats,Animal Feed Products,Cat Food Products,Dilution,"North America, United States",2014,2014
Undeclared Meats,Animal Feed Products,Dog Food Products,Dilution,"North America, United States",2014,2014
United States Beef,Meat Products,South Korean Beef,Transshipment/Origin Masking,"North America, United States",2008,Unknown
United States Beef,Meat Products,Australian Beef,Transshipment/Origin Masking,"North America, United States",2008,Unknown
Unknown Fake Fish,Fish and Seafood Products,sea bass,Substitution,"Western Europe, Scotland",Unknown,2013
Unknown Fake Fish,Fish and Seafood Products,halibut,Substitution,"Western Europe, Scotland",Unknown,2013
Unknown Fake Fish,Fish and Seafood Products,Fish,Substitution,"Western Europe, Scotland",Unknown,2013
Unknown Fake Fish,Fish and Seafood Products,cod,Substitution,"Western Europe, Scotland",Unknown,2013
Unknown Fake Fish,Fish and Seafood Products,Smoked Haddock,Substitution,"Western Europe, Scotland",Unknown,2013
Unknown Fake Fish,Fish and Seafood Products,Sea Bream,Substitution,"Western Europe, Scotland",Unknown,2013
Unknown Fake Fish,Fish and Seafood Products,monkfish,Substitution,"Western Europe, Scotland",Unknown,2013
Unknown Milk Source,Dairy Products,infant formula,Dilution with with a non-food-grade substance,"Western Europe, Netherlands",2012,2013
Vehicle Anti-freeze,Alcoholic Beverages,vodka,Dilution with with a non-food-grade substance,"Western Europe, United Kingdom",Unknown,2011
Venison,Meat Products,Ground Pork,Mislabeling,"North America, United States",Unknown,2012
Veterinary Products,Other Foods,coffee,Theft and Resale,"South America, Colombia",Unknown,2014
Veterinary Products,Other Foods,canned foods,Theft and Resale,"South America, Colombia",Unknown,2014
Veterinary Products,Other Foods,cereal,Theft and Resale,"South America, Colombia",Unknown,2014
Veterinary Products,Other Foods,Fish,Theft and Resale,"South America, Colombia",Unknown,2014
Veterinary Products,Other Foods,ketchup,Theft and Resale,"South America, Colombia",Unknown,2014
Veterinary Products,Other Foods,milk,Theft and Resale,"South America, Colombia",Unknown,2014
Veterinary Products,Other Foods,Spices,Theft and Resale,"South America, Colombia",Unknown,2014
Veterinary Products,Other Foods,tea,Theft and Resale,"South America, Colombia",Unknown,2014
Veterinary Products,Other Foods,tea,Theft and Resale,"South America, Colombia",Unknown,2014
Vietnam-sourced seafood,Fish and Seafood Products,gulf-sourced seafood,Transshipment/Origin Masking,"North America, United States",2006,2012
Vietnam-sourced seafood,Fish and Seafood Products,gulf-sourced shrimp,Transshipment/Origin Masking,"North America, United States",2006,2012
Vietnam-sourced shrimp,Fish and Seafood Products,gulf-sourced seafood,Transshipment/Origin Masking,"North America, United States",2006,2012
Vietnam-sourced shrimp,Fish and Seafood Products,gulf-sourced shrimp,Transshipment/Origin Masking,"North America, United States",2006,2012
Vietnamese Rice,Grains and Grain Products,Taiwanese rice,Mislabeling,"Southeast Asia, Taiwan",2011,2013
Vietnamese honey,Honey and Other Natural Sweeteners,Indian Honey,Transshipment/Origin Masking,"East Asia, China",2009,2012
Vietnamese honey,Honey and Other Natural Sweeteners,Malaysian Honey,Transshipment/Origin Masking,"East Asia, China",2009,2012
Virgin Olive Oil,Oils and Fats,extra virgin olive oil,Substitution,"Western Europe, Spain",Unknown,2010
Water-retaining agent,Meat Products,lamb,Dilution,"Southeast Asia, Taiwan",Unknown,2014
Yellow mouth Gropuper,Fish and Seafood Products,grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Yellow mouth Gropuper,Fish and Seafood Products,Black Grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Yellowedge Grouper,Fish and Seafood Products,Black Grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Yellowedge Grouper,Fish and Seafood Products,grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Yellowtail Amberjack,Fish and Seafood Products,Cape Salmon,Substitution,unknown,2013,2014
Yellowtail Amberjack,Fish and Seafood Products,Yellowtail,Substitution,unknown,2013,2014
Yellowtail Amberjack,Fish and Seafood Products,White Steenbras,Substitution,unknown,2013,2014
Yellowtail Amberjack,Fish and Seafood Products,Silver Steenbras,Substitution,unknown,2013,2014
Yellowtail Amberjack,Fish and Seafood Products,Rockcod,Substitution,unknown,2013,2014
Yellowtail Amberjack,Fish and Seafood Products,Red Steenbras,Substitution,unknown,2013,2014
Yellowtail Amberjack,Fish and Seafood Products,Red Roman,Substitution,unknown,2013,2014
Yellowtail Amberjack,Fish and Seafood Products,John Dory,Substitution,unknown,2013,2014
a syrup substance,Honey and Other Natural Sweeteners,honey,Substitution,unknown,Unknown,2012
acid insoluble ash,Grains and Grain Products,buckwheat flour,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
added color,Fish and Seafood Products,Crab & Artichoke Spread,Mislabeling,"North America, United States",Unknown,2013
addition of water,Meat Products,Meat products,Dilution,Western Europe,2014,2015
addition of water,Meat Products,Fresh meat product,Dilution,Western Europe,2014,2015
addition of water,Honey and Other Natural Sweeteners,Pure Honey,Dilution,"East Africa, Zimbabwe",Unknown,2012
addition of water,Fish and Seafood Products,natural scallops,Dilution,"North America, United States",Unknown,2012
additional meat species,Meat Products,chicken,Dilution,"Southeast Asia, Taiwan",2015,2015
additional meat species,Meat Products,pork,Dilution,"Southeast Asia, Taiwan",2015,2015
additional meat species,Meat Products,beef,Dilution,"Southeast Asia, Taiwan",2015,2015
additional meat species,Meat Products,Meat products,Dilution,United States,Unknown,2015
additional meat species,Meat Products,Game Meats,Dilution,United States,2014,2015
additional meat species,Meat Products,Meat products,Dilution,United States,Unknown,2015
additives,Meat Products,Meat products,Dilution,Western Europe,2014,2015
additives,Meat Products,Fresh meat product,Dilution,Western Europe,2014,2015
adulterated khoya,Dairy Products,ice cream,Dilution with with a non-food-grade substance,"Southeast Asia, India",2015,2015
adulterated mawa,Dairy Products,ice cream,Dilution with with a non-food-grade substance,"Southeast Asia, India",2015,2015
aflatoxin,Grains and Grain Products,buckwheat flour,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
alcohol,Alcoholic Beverages,cognac,Counterfeit,"Eastern Europe, Ukraine",Unknown,2012
alkaline phosphatase,Dairy Products,Cheese,Intentional Distribution of Contaminated Product,"North America, United States; North America, Mexico",2007,2007
alternate fish species,Fish and Seafood Products,white tuna,Substitution,,2012,2012
alternate fish species,Fish and Seafood Products,red snapper,Substitution,,2012,2012
alternate fish species,Fish and Seafood Products,Dover sole,Substitution,,2012,2012
aluminum,Dairy Products,khoya,Dilution with with a non-food-grade substance,"Southeast Asia, India",2012,2012
aluminum,Dairy Products,ghee,Dilution with with a non-food-grade substance,"Southeast Asia, India",2012,2012
aluminum,Other Foods,mawa,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
aluminum,Other Foods,water,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
aluminum,Grains and Grain Products,Tanzanian rice,Dilution,"East Africa, United Republic of Tanzania",Unknown,2012
aluminum,Other Foods,khowa,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
aluminum,Other Foods,sweets,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
aluminum,Other Foods,sugar,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
aluminum,Other Foods,oil,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
aluminum,Dairy Products,mawa,Dilution with with a non-food-grade substance,"Southeast Asia, India",2012,2012
amino acids,Fruit Juices and Concentrates,orange juice from concentrate,Dilution with with a non-food-grade substance,"North America, United States",Before 1980,1991
ammonia,Dairy Products,milk,Dilution with with a non-food-grade substance,"Southeast Asia, India",2015,2015
ammonium chloride,Alcoholic Beverages,Moonshine,Dilution with with a non-food-grade substance,"Southeast Asia, India",Unknown,2015
ammonium chloride,Alcoholic Beverages,bootleg liquor,Dilution with with a non-food-grade substance,"Southeast Asia, India",Unknown,2015
ammonium chloride,Alcoholic Beverages,Moonshine,Dilution with with a non-food-grade substance,"Southeast Asia, India",Unknown,2015
ammonium chloride,Alcoholic Beverages,bootleg liquor,Dilution with with a non-food-grade substance,"Southeast Asia, India",Unknown,2015
ammonium nitrate,Alcoholic Beverages,sugarcane-based alcohol,Dilution with with a non-food-grade substance,"Southeast Asia, India",2008,2011
ammonium sulfate,Dairy Products,milk,Dilution,"Southeast Asia, Pakistan",Unknown,2013
and pork products,Meat Products,chicken,Mislabeling,"North America, United States",2014,2015
and pork products,Meat Products,beef,Mislabeling,"North America, United States",2014,2015
and pork products,Meat Products,pork,Mislabeling,"North America, United States",2014,2015
aniline,Oils and Fats,olive oil,Substitution,"Western Europe, Spain",1981,1981
antibiotics,Produce and Legumes,Bean Sprouts,Artificial Enhancement,"East Asia, China",Unknown,2011
antibiotics,Honey and Other Natural Sweeteners,Philippine honey,Transshipment/Origin Masking,"East Asia, China",2005,2008
antibiotics,Honey and Other Natural Sweeteners,Thai Honey,Transshipment/Origin Masking,"East Asia, China",2005,2008
antifreeze,Alcoholic Beverages,wine,Artificial Enhancement,"Western Europe, Austria",Unknown,1985
apple juice,Alcoholic Beverages,wine,Dilution,"Oceania, Australia",Unknown,1991
aromatic aldehydes,Meat Products,beef,Artificial Enhancement,"East Africa, Zambia",2013,2013
arrowroot,Dairy Products,milk,Dilution,"Southeast Asia, Pakistan",Unknown,2013
arsenic,Other Foods,Doughnuts,Disgruntled Employee,"North America, United States",1984,1984
arsenic,Grains and Grain Products,flour,Disgruntled Employee,"East Asia, China",1992,1992
arsenic,Other Beverages,Bottled Zam Zam Water,Theft and Resale,unknown,Unknown,2011
arsenic,Other Foods,Bread,Terrorism,"Western Europe, Germany",Before 1980,Before 1980
artificial color,Spices and Extracts,cumin seeds,Artificial Enhancement,"Southeast Asia, India",2012,2012
artificial coloring,Fruit Juices and Concentrates,apple juice concentrate,Dilution,"North America, United States",Before 1980,1983
artificial flavoring,Grains and Grain Products,rice,Dilution,"East Asia, China",2009,2010
artificial flavoring,Fruit Juices and Concentrates,apple juice concentrate,Dilution,"North America, United States",Before 1980,1983
artificial milk flavors,Dairy Products,powdered milk,Dilution,"East Asia, China",2003,2004
artificial sweeteners,Dairy Products,ghee,Dilution with with a non-food-grade substance,"Southeast Asia, India",2012,2012
artificial sweeteners,Dairy Products,khoya,Dilution with with a non-food-grade substance,"Southeast Asia, India",2012,2012
artificial sweeteners,Dairy Products,mawa,Dilution with with a non-food-grade substance,"Southeast Asia, India",2012,2012
ash,Spices and Extracts,Black Pepper,Dilution,"Eastern Europe, Ukraine",Unknown,2015
ash colored rice bran,Spices and Extracts,turmeric,Artificial Enhancement,"Southeast Asia, India",Unknown,2010
aspartame,Alcoholic Beverages,Red Wine,Dilution,"Eastern Europe, Bulgaria; Eastern Europe, Romania; Western Europe, Europe",Unknown,2015
atropine sulfate,Other Foods,Chocolate Candies,Disgruntled Employee,"North America, United States",1987,1987
bacteria,Other Beverages,Bottled Zam Zam Water,Theft and Resale,unknown,Unknown,2011
banded coral shrimp,Fish and Seafood Products,wild caught shrimp,Substitution,"North America, United States",2013,2014
basa,Fish and Seafood Products,grouper,Substitution,"North America, United States",2006,2012
beef fat,Oils and Fats,butter,Dilution with with a non-food-grade substance,"Western Europe, France; Western Europe, Italy",1997,2000
beef hearts,Meat Products,Halal meat,Mislabeling,"Western Europe, Ireland",Unknown,2015
beef hearts,Meat Products,Beef products,Mislabeling,"Western Europe, Ireland",Unknown,2015
beef meat,Animal Feed Products,pet food,Mislabeling,unknown,Unknown,2014
beef tallow,Oils and Fats,butter,Dilution with with a non-food-grade substance,"Western Europe, France; Western Europe, Italy",1997,2000
beet sugar,Fruit Juices and Concentrates,apple juice concentrate,Dilution,"North America, United States",Before 1980,1983
beet sugar,Fruit Juices and Concentrates,orange juice concentrate,Dilution,"North America, United States",1985,1990
beet sugar,Fruit Juices and Concentrates,orange juice from concentrate,Dilution with with a non-food-grade substance,"North America, United States",Before 1980,1991
beet sugar,Fruit Juices and Concentrates,frozen unsweetened orange juice concentrate,Dilution,"North America, United States",1986,1988
beet sugar,Other Beverages,coconut water,Mislabeling,"Southeast Asia, Thailand",Unknown,2014
benzoic acid (preservative),Meat Products,"""Doktorskaya"" sausage",Mislabeling,"Eastern Europe, Russia",Unknown,2015
beta-carotene,Oils and Fats,Italian Extra Virgin Olive Oil,Mislabeling,"Western Europe, Italy",Unknown,2008
black oxide paint,Spices and Extracts,Black Pepper,Dilution,"Southeast Asia, India",2013,2015
black oxide paint,Spices and Extracts,poppy seeds,Dilution,"Southeast Asia, India",2013,2015
black oxide paint,Spices and Extracts,cumin,Dilution,"Southeast Asia, India",2013,2015
bleach liquor,Grains and Grain Products,Sago,Artificial Enhancement,"Southeast Asia, India",Unknown,2013
blotting paper,Other Foods,mawa,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
blotting paper,Other Foods,water,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
blotting paper,Other Foods,sweets,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
blotting paper,Other Foods,sugar,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
blotting paper,Other Foods,oil,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
blotting paper,Other Foods,khowa,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
boric acid,Dairy Products,milk,Dilution,"Southeast Asia, Pakistan",Unknown,2013
bovine bones,Meat Products,chicken,Artificial Enhancement,"Western Europe, Netherlands; Western Europe, Germany; Western Europe, Spain",2001,2009
bovine gristle,Meat Products,chicken,Artificial Enhancement,"Western Europe, Netherlands; Western Europe, Germany; Western Europe, Spain",2001,2009
burnt diesel oil,Spices and Extracts,Black Pepper,Artificial Enhancement,"Southeast Asia, India",Unknown,2013
butter yellow dye,Other Foods,mawa,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
butter yellow dye,Other Foods,sweets,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
butter yellow dye,Other Foods,water,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
butter yellow dye,Other Foods,oil,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
butter yellow dye,Other Foods,sugar,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
butter yellow dye,Other Foods,khowa,Dilution with with a non-food-grade substance,"Southeast Asia, India",2011,2011
cage eggs,Eggs,free range eggs,Mislabeling,"Western Europe, United Kingdom",2004,2006
cage eggs,Eggs,free range eggs,Mislabeling,"Oceania, Australia",2013,2014
calcium carbide,Produce and Legumes,Grapes,Artificial Enhancement,"Southeast Asia, India",2013,2013
calcium carbide,Produce and Legumes,Apples,Artificial Enhancement,"Southeast Asia, India",2013,2013
calcium carbide,Produce and Legumes,Oranges,Artificial Enhancement,"Southeast Asia, India",2013,2013
calcium carbide,Produce and Legumes,mangoes,Artificial Enhancement,"Southeast Asia, India",2013,2013
calcium carbide,Produce and Legumes,mangoes,Artificial Enhancement,"Southeast Asia, India",2013,2013
calcium carbide powder,Produce and Legumes,mangoes,Artificial Enhancement,"Southeast Asia, India",2010,2012
calcium carbonate,Eggs,eggs,Substitution with a non-food-grade substance,"East Asia, China",Unknown,2012
calcium sorbate,Dairy Products,ice cream,Mislabeling,"North America, United States",Unknown,2014
cane sugar,Dairy Products,milk,Artificial Enhancement,"Southeast Asia, India",2013,2013
cane sugar,Dairy Products,milk,Dilution,"Southeast Asia, Pakistan",Unknown,2013
cane sugar,Honey and Other Natural Sweeteners,honey,Mislabeling,"Middle East, Turkey",2006,2013
cane sugar,Other Beverages,coconut water,Mislabeling,"Southeast Asia, Thailand",Unknown,2014
cane sugar syrup,Fruit Juices and Concentrates,apple juice concentrate,Dilution,"North America, United States",Before 1980,1983
canola oil,Oils and Fats,olive pomace oil,Dilution,"North America, United States",1992,1993
canola oil,Oils and Fats,extra virgin olive oil,Dilution,"Southeast Asia, Malaysia",2012,2013
caramel,Coffee and Tea,coffee beans,Dilution with with a non-food-grade substance,"South America, Brazil",Unknown,Unknown
caramel,Coffee and Tea,coffee grounds,Dilution with with a non-food-grade substance,"South America, Brazil",Unknown,Unknown
carbide,Produce and Legumes,watermelon,Artificial Enhancement,"Southeast Asia, India",Unknown,2012
catfish,Fish and Seafood Products,flounder,Substitution,"North America, United States",2006,2012
catfish,Fish and Seafood Products,grouper,Substitution,"North America, United States",2006,2012
caustic soda,Dairy Products,mawa,Artificial Enhancement,"Southeast Asia, India",2011,2011
caustic soda,Dairy Products,milk,Dilution,"South America, Brazil",2014,2014
caustic soda,Dairy Products,milk,Artificial Enhancement,"South America, Brazil",2007,2007
caustic soda,Dairy Products,khoya,Artificial Enhancement,"Southeast Asia, India",2011,2011
caustic soda,Dairy Products,ghee,Artificial Enhancement,"Southeast Asia, India",2011,2011
caustic soda,Dairy Products,sweets,Artificial Enhancement,"Southeast Asia, India",2011,2011
caustic soda,Dairy Products,milk,Dilution,"South America, Brazil",2008,2014
caustic soda,Dairy Products,milk,Artificial Enhancement,"Southeast Asia, India",2011,2011
caustic soda sodium chloride and formalin,Dairy Products,milk,Dilution,"Southeast Asia, Pakistan",Unknown,2013
cellulose,Dairy Products,milk,Artificial Enhancement,"Southeast Asia, India",2013,2013
cellulose,Dairy Products,parmesan cheese,Mislabeling,"North America, United States",2012,2012
cellulose,Dairy Products,romano cheese,Mislabeling,"North America, United States",2012,2012
cheap French table wine,Alcoholic Beverages,Amarone wine,Dilution,"Western Europe, Italy",2007,2009
cheap Spanish oil,Oils and Fats,"""extra virgin"" olive oil from Baux-en-Provence",Mislabeling,"Western Europe, Spain",Unknown,2005
cheap bulk wine from South America,Alcoholic Beverages,wine,Counterfeit,"South America; East Asia, China",2007,2010
cheap edible oil,Oils and Fats,sunflower oil,Dilution,"Southeast Asia, India",Unknown,2015
cheap edible oil,Oils and Fats,soyabean oil,Dilution,"Southeast Asia, India",Unknown,2015
cheap red wine,Alcoholic Beverages,branded Italian wine,Counterfeit,"Western Europe, Italy",Unknown,2014
cheap rice from Asia,Grains and Grain Products,Tanzanian rice,Dilution,"Southeast Asia, Pakistan; East Africa, United Republic of Tanzania",Unknown,2015
cheaper apple juice concentrates,Fruit Juices and Concentrates,Cranberry Pomegranate Juice,Dilution,"North America, United States",2014,2015
cheaper flatfish species,Fish and Seafood Products,cod,Substitution,"Western Europe, Belgium",2015,2015
cheaper flatfish species,Fish and Seafood Products,Bluefin Tuna,Substitution,"Western Europe, Belgium",2015,2015
cheaper flatfish species,Fish and Seafood Products,Common Sole,Substitution,"Western Europe, Belgium",2015,2015
cheaper oils,Oils and Fats,extra virgin olive oil,Dilution,"Middle East, Israel",2016,2016
cheaper refined olive oils,Oils and Fats,extra virgin olive oil,Mislabeling,unknown,Unknown,2011
cheaper tropical tuna species,Fish and Seafood Products,Bluefin Tuna,Substitution,"Western Europe, Belgium",2015,2015
cheaper tropical tuna species,Fish and Seafood Products,Common Sole,Substitution,"Western Europe, Belgium",2015,2015
cheaper tropical tuna species,Fish and Seafood Products,cod,Substitution,"Western Europe, Belgium",2015,2015
cheaper white grape juice concentrates,Fruit Juices and Concentrates,Cranberry Pomegranate Juice,Dilution,"North America, United States",2014,2015
cheese substitute,"Dairy Products, Meat Products",ham,Substitution,"Western Europe, United Kingdom",Unknown,2015
cheese substitute,"Dairy Products, Meat Products",Cheese,Substitution,"Western Europe, United Kingdom",Unknown,2015
chemical dyes,Alcoholic Beverages,branded alcohol,Counterfeit,"Eastern Europe, Russia",Unknown,2015
chemical dyes,Coffee and Tea,tea,Dilution with with a non-food-grade substance,"Southeast Asia, India",Unknown,2012
chemical powder,Produce and Legumes,potatoes,Artificial Enhancement,"Southeast Asia, India",2011,2011
chemical whiteners,Grains and Grain Products,Sago,Artificial Enhancement,"Southeast Asia, India",Unknown,2014
chemicals,Coffee and Tea,coffee,Substitution,"Southeast Asia, Viet Nam",2010,2012
chemicals,Meat Products,beef,Substitution,"East Asia, China",Unknown,2015
chicken,Meat Products,deli meats,Dilution,"Southern Africa, South Africa",Unknown,2013
chicken,Meat Products,dried meat,Dilution,"Southern Africa, South Africa",Unknown,2013
chicken,Meat Products,ground beef,Dilution,"North America, United States",1989,1993
chicken,Meat Products,minced meat,Dilution,"Southern Africa, South Africa",Unknown,2013
chicken,Meat Products,sausage,Dilution,"Southern Africa, South Africa",Unknown,2013
chicken,Meat Products,ground lamb,Dilution,"Western Europe, United Kingdom",Unknown,2014
chicken,Meat Products,beef,Substitution,"East Asia, China",Unknown,2015
chicken,Meat Products,burger patties,Dilution,"Southern Africa, South Africa",Unknown,2013
chicken,Meat Products,Lamb curry,Dilution,"Western Europe, United Kingdom",Unknown,2014
chicken,Meat Products,pork,Dilution,"Eastern Europe, Russia",Unknown,2015
chicken,Meat Products,lamb,Mislabeling,"Western Europe, Scotland; Western Europe, United Kingdom",Unknown,2015
chicken,Meat Products,beef,Dilution,"Eastern Europe, Russia",Unknown,2015
chicken,Meat Products,Kebab,Dilution,"Western Europe, United Kingdom",Unknown,2014
chicken,Meat Products,lamb,Dilution,"Western Europe, United Kingdom",Unknown,2014
chicken buttocks,Oils and Fats,cooking oil,Substitution with a non-food-grade substance,"East Asia, China",2011,2012
chicken meat,Animal Feed Products,pet food,Mislabeling,unknown,Unknown,2014
chloramphenicol,Fish and Seafood Products,shrimp,Artificial Enhancement,East Asia,2001,2002
chloramphenicol,Honey and Other Natural Sweeteners,Canadian honey,Artificial Enhancement,"North America, Canada",2004,2004
chloramphenicol,Honey and Other Natural Sweeteners,Malaysian Honey,Transshipment/Origin Masking,"East Asia, China",2009,2012
chloramphenicol,Honey and Other Natural Sweeteners,Indian Honey,Transshipment/Origin Masking,"East Asia, China",2009,2012
chloramphenicol,Honey and Other Natural Sweeteners,honey,Transshipment/Origin Masking,"East Asia, China",2002,2009
