adulterant,product,category,instances
lead,cassava flour,fruits and vegetables,2
benzo(a)pyrene,frozen smoked dried catfish,fish and fish products,2
lead,fresh mango,fruits and vegetables,2
5-hydroxytryptophan,food supplement,"dietetic foods, food supplements, fortified foods",2
lead,chewy candies,confectionery,2
sulphite,fresh norway lobster (nephrops norvegicus),crustaceans and products thereof,2
sulphite,frozen raw shrimps,crustaceans and products thereof,2
sulphite,frozen cooked prawns,crustaceans and products thereof,2
unidentified colour,sugar coated fennel seed,confectionery,2
dioxins,cheese,milk and milk products,2
colour sudan 1,paprika relish,"soups, broths, sauces and condiments",2
sulphite,frozen norway lobster (nephrops norvegicus),fish and fish products,2
benzo(a)pyrene,dried catfish fillets,fish and fish products,2
colour sudan 1,pesto rosso,"soups, broths, sauces and condiments",2
benzo(a)pyrene,dried fish,fish and fish products,2
lead,ayurvedic food supplement,"dietetic foods, food supplements, fortified foods",2
sulphite,frozen norway lobster,crustaceans and products thereof,2
acrylamide,potato crisps,prepared dishes and snacks,2
chromium,migration of chromium (1.75 åµg/kg - ppb) and of nickel (0.03 åµg/kg - ppb) and too high level of overall migration (3.1 åµg/kg - ppb),food contact materials,1
chromium,migration of chromium (10.8 åµg/kg - ppb),food contact materials,1
chromium,migration of chromium (13.64 mg/l) and of manganese (0.58 mg/l),food contact materials,1
chromium,migration of chromium (13.38 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (10-30 mg/dmå_),food contact materials,1
chromium,migration of chromium (13.2<-->61.7 mg/l) and of nickel (0.24<--><0.94 mg/l),food contact materials,1
chromium,migration of chromium (1.2 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (1.0-3.85 mg/dmå_),food contact materials,1
chromium,"migration of chromium (1.07 mg/kg - ppm), of nickel (0.47 mg/kg - ppm) and of manganese (0.13 mg/kg - ppm)",food contact materials,1
cadmium,spider crab (maja squinado),crustaceans and products thereof,1
colour sudan 4,fresh palm oil,fats and oils,1
cadmium,spinach leaves cut deep frozen,fruits and vegetables,1
cadmium,spider crabs,crustaceans and products thereof,1
chromium,migration of chromium (1.05 mg/kg - ppm) and of nickel (10 mg/kg dry matter),food contact materials,1
deg,champagne,wine,1
colour sudan 4,cooking palm oil,fats and oils,1
deg,cheese and curd,milk and milk products,1
chromium,migration of chromium (1.75; 2.05 mg/dmå_) and of nickel (0.11 mg/dmå_) and too high level of overall migration (57.2; 11.3; 26.1: steel; 252.9: plastics mg/dmå_),food contact materials,1
cadmium,venus clams,molluscs and products thereof - (obsolete),1
chromium,migration of chromium (0.98 mg/kg - ppm),food contact materials,1
colour sudan 4,nihari masala mix,herbs and spices,1
cadmium,squid,cephalopods and products thereof,1
chromium,migration of chromium (0.23; 18.5; 95 åµg/kg - ppb) and of nickel (0.07; 0.97; 0.87 åµg/kg - ppb),food contact materials,1
colour sudan 4,mixed spices with peppers,herbs and spices,1
cyromazine,kale cai ro (thai broccoli),fruits and vegetables,1
colour sudan 4,natural palm oil,fats and oils,1
colour sudan 4,natural zomi palm oil,fats and oils,1
chromium,migration of chromium (0.215; 0.33; 0.28 mg/kg - ppm) and of nickel (0.228; 0.326; 0.325 mg/kg - ppm),food contact materials,1
colour sudan 4,palm kernel oil (raw),fats and oils,1
colour sudan 4,ground pepper,herbs and spices,1
chromium,migration of chromium (0.20; 27.2; 16.8 mg/l) and of nickel (<0.01; 0.33; 0.19 mg/l),food contact materials,1
chromium,migration of chromium (0.2 mg/kg - ppm),food contact materials,1
cyclamate,tomato ketchup,"soups, broths, sauces and condiments",1
cyclamate,syrup for preparation of non-alcoholic beverages,non-alcoholic beverages,1
chromium,migration of chromium (0.18; 21.75; 1.021; 80.8; 0.481; 0.366 mg/l) and of manganese (0.412; 1.094 mg/l),food contact materials,1
cyclamate,strawberry flavoured drink,non-alcoholic beverages,1
cyclamate,spray candy,non-alcoholic beverages,1
chromium,migration of chromium (0.25 mg/l),food contact materials,1
colour sudan 4,mild madras curry powder,herbs and spices,1
chromium,migration of chromium (0.27 mg/l),food contact materials,1
chromium,migration of chromium (0.27; 0.27) and of nickel (0.02; 0.26 mg/kg - ppm),food contact materials,1
cadmium,spirulina tablets,"dietetic foods, food supplements, fortified foods",1
chromium,migration of chromium (0.65; 1.12 åµg/kg - ppb) and of nickel (0.54; 0.03 åµg/kg - ppb),food contact materials,1
cadmium,spirulina-algae food supplement,"dietetic foods, food supplements, fortified foods",1
chromium,migration of chromium (0.410 mg/l),food contact materials,1
chromium,migration of chromium (0.38 mg/kg - ppm) and of nickel (0.15 mg/kg - ppm) and too high level of overall migration (8.41; 3.4 åµg/dmå_),food contact materials,1
chromium,migration of chromium (0.377 mg/l),food contact materials,1
d-aspartic acid,food supplement,"dietetic foods, food supplements, fortified foods",1
chromium,migration of chromium (0.30; 0.10 mg/l),food contact materials,1
cadmium,spirulina-algae tablets,"dietetic foods, food supplements, fortified foods",1
colour sudan 4,ground sumac,herbs and spices,1
chromium,migration of chromium (0.295 mg/l),food contact materials,1
chromium,migration of chromium (0.283 mg/l) and of nickel (0.664 mg/l),food contact materials,1
colour sudan 4,hot chilli powder,herbs and spices,1
chromium,migration of chromium (0.27; 0.4; 7.65 mg/l) and of primary aromatic amines (4.49; 5.68; 4.19 mg/kg - ppm),food contact materials,1
colour sudan 4,hot madras curry powder,herbs and spices,1
colour sudan 4,100% natural palm oil,fats and oils,1
detergent,egg pasta nests,cereals and bakery products,1
dehydroepiandrosterone,food supplement for sports people,"dietetic foods, food supplements, fortified foods",1
colour sudan 1,"unauthorised colour sudan 1 (>lod=0.15 and <loq=0.45 mg="""" kg="""" -="""" ppm)="""" in="""" spicy="""" tomato="""" sauce="""" from="""" georgia<="""" td=""""> </loq=0.45>","soups, broths, sauces and condiments",1
colour sudan 1,various food containing worcester sauce,other food product / mixed,1
colour sudan 1,various food products,"soups, broths, sauces and condiments",1
chromium,migration of chromium (7.26; 0.978 mg/l),food contact materials,1
dimethylsildenafil,herbal supplement,"dietetic foods, food supplements, fortified foods",1
chromium,migration of chromium (7 and 24.4 mg/l) and of nickel (0.07 and 0.52 mg/l),food contact materials,1
colour sudan 1,various foods containing worcester sauce,other food product / mixed,1
chromium,migration of chromium (6.3 mg/kg - ppm) and of nickel (0.07 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (6.27 mg/dmå_) and of nickel (0.05 mg/dmå_),food contact materials,1
colour sudan 1,various products made with chilli pepper,other food product / mixed,1
cadmium,shortfin squid,molluscs and products thereof - (obsolete),1
chromium,migration of chromium (5.58 mg/l),food contact materials,1
cadmium,shrimp powder,crustaceans and products thereof,1
chromium,migration of chromium (5.51 mg/kg - ppm),food contact materials,1
colour sudan 1,various sauce containing worcester sauce,"soups, broths, sauces and condiments",1
colour sudan 1,various savoury sauce and spices,herbs and spices,1
chromium,migration of chromium (5.4; 18.1; 24.0 mg/l) and of nickel (<0.06; 0.17; 0.11 mg/l),food contact materials,1
chromium,migration of chromium (5.482 mg/l) and of nickel (0.168 mg/l),food contact materials,1
colour sudan 1,"uncooked, smoked sausage",meat and meat products (other than poultry),1
chromium,migration of chromium (8.2 mg/l),food contact materials,1
colour sudan 3,hot sauce,"soups, broths, sauces and condiments",1
chromium,migration of chromium (80.9 mg/kg - ppm) and of nickel (0.3 mg/kg - ppm),food contact materials,1
dioxin-like polychlorobifenyls,monkfish liver (lophius piscatorius),fish and fish products,1
dioxin-like polychlorobifenyls,frozen spiny dogfish (squalius acantias),fish and fish products,1
chromium,migration of chromium (excessive migration),food contact materials,1
dioxin-like polychlorobifenyls,eggs,eggs and egg products,1
chromium,migration of chromium (between 3.3 and 70.69 mg/l) and of nickel (0.3. 0.4 mg/l),food contact materials,1
chromium,migration of chromium (> 10 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (9.71 mg/kg - ppm) and of nickel (0.3 mg/kg - ppm),food contact materials,1
dioxin-like polychlorobifenyls,egg yolk powder,eggs and egg products,1
chromium,migration of chromium (9.56 mg/l),food contact materials,1
chromium,migration of chromium (9.4; 17.8; 11.7; 24.8 mg/dmå_),food contact materials,1
dioxin-like polychlorobifenyls,eel,fish and fish products,1
dioxin-like polychlorobifenyls,dried yolk powder,eggs and egg products,1
colour sudan 1,turmeric (curcuma longa),herbs and spices,1
cadmium,shell-fish,molluscs and products thereof - (obsolete),1
chromium,migration of chromium (9.123 mg/l),food contact materials,1
colour sudan 1,turmeric powder (curcuma) used for the production of gnocchi,herbs and spices,1
chromium,migration of chromium (89.1; 45.3; 35.8; 12.1; 0.3; 10.4; 0.1; 1.0 mg/kg - ppm) and of nickel (0.9; 0.6; 0.4; 0.3; 0.1; 0.1 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (40.9; 32.5 mg/l) and of nickel (0.44; 0.50 mg/l),food contact materials,1
chromium,migration of chromium (4.90 mg/l),food contact materials,1
diethylene glycol,gum sweets,confectionery,1
chromium,migration of chromium (38.4 mg/kg - ppm) and of nickel (1.56 mg/kg - ppm),food contact materials,1
detergent,water - bottled,non-alcoholic beverages,1
cadmium,sliced frozen swordfish (xiphias gladius),fish and fish products,1
chromium,migration of chromium (2.03; 16.95; 0.25 mg/kg - ppm) and of nickel (11.33; 0.7; 8.2; 0.41 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (194 mg/kg - ppm) and of nickel (0.15 mg/kg - ppm),food contact materials,1
colour sudan 1,worcestershire sauce,"soups, broths, sauces and condiments",1
cadmium,sliced mushrooms (agaricus bisporus),fruits and vegetables,1
chromium,migration of chromium (17.24; 7.70 åµg/kg - ppb) and of nickel (0.5; 0.154 åµg/kg - ppb) and too high level of overall migration (164; 36.7 mg/dmå_),food contact materials,1
detergent,sparkling mineral water,natural mineral water,1
cadmium,slipper lobster (scyllarides arctus),crustaceans and products thereof,1
colour sudan 4,palm oil in bottle,fats and oils,1
chromium,migration of chromium (16 mg/kg - ppm) and too high level of overall migration (29.5 mg/dmå_),food contact materials,1
cadmium,spiced sardines in soya oil,fish and fish products,1
detergent,beer in barrels,alcoholic beverages,1
colour sudan 1,zomi palm oil,fats and oils,1
cadmium,spicy sardines,fish and fish products,1
chromium,migration of chromium (15.9 mg/l) and of nickel (0.363 mg/l),food contact materials,1
"colour sudan 1,sudan 3",various types of seasoning,herbs and spices,1
chromium,migration of chromium (2.348 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (2.53 mg/l),food contact materials,1
chromium,migration of chromium (2.6 mg/l),food contact materials,1
diesel oil,frozen minced spinach,fruits and vegetables,1
diethylene glycol,grape juice,non-alcoholic beverages,1
chromium,migration of chromium (37.56 mg/kg - ppm) and of nickel (2.27 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (34.8; 38.9 mg/l) and nickel (0.26; 0.42 mg/l),food contact materials,1
diet pills,diet pills,"dietetic foods, food supplements, fortified foods",1
colour sudan 1,various spices containing chilli powder,herbs and spices,1
diesel oil,palm oil - crude,fats and oils,1
colour sudan 1,vegetable salad with rice,fruits and vegetables,1
colour sudan 1,vegetable sauce with chilli,"soups, broths, sauces and condiments",1
chromium,migration of chromium (2.61 <---> 51 mg/dmå_),food contact materials,1
chromium,migration of chromium (33.6 åµg/kg - ppb) and of nickel (1.14 åµg/kg - ppb),food contact materials,1
colour sudan 1,vegetable sauce with mushrooms and vegetable sauce with olives and capers (sughi pronti al funghi + sughi pronti alle olive e capperio),"soups, broths, sauces and condiments",1
chromium,migration of chromium (31.5 mg/l),food contact materials,1
chromium,migration of chromium (3.57; 6.87; 3.24 mg/kg - ppm) and too high level of overall migration (20.7; 32.9; 24.3 mg/dmå_),food contact materials,1
chromium,migration of chromium (3.30 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (27.2 mg/kg - ppm) and of nickel (0.28 mg/kg - ppm) and too high level of overall migration (555 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (26; 32 mg/dmå_),food contact materials,1
cyclamate,raspberry flavour instant drinking powder,non-alcoholic beverages,1
chromium,migration of chromium (0.14; 3.4 mg/l) and of nickel (0.26 mg/l),food contact materials,1
colour sudan 4,palmoil,fats and oils,1
coumarin,cinnamon flavoured rice pudding,ices and desserts,1
coumarin,breakfast cereal with cinnamon flavour,cereals and bakery products,1
calcium carbonate,sauce mix,"soups, broths, sauces and condiments",1
coumarin,cereal chips with cinnamon,herbs and spices,1
cadmium,squid tentacles (loligo formosana),molluscs and products thereof - (obsolete),1
cadmium,squid tentacles (loligo spp),cephalopods and products thereof,1
calcium carbonate,flour improver,food additives and flavourings,1
cadmium,squid tubes,molluscs and products thereof - (obsolete),1
calcium caprylate,caprylic acid,"dietetic foods, food supplements, fortified foods",1
cyclamate,cherry flavoured soft drink,non-alcoholic beverages,1
coumarin,cinnamon tablets,"dietetic foods, food supplements, fortified foods",1
cadmium,"squid, cuttlefish + shrimps",molluscs and products thereof - (obsolete),1
caffeine,tea,"cocoa and cocoa preparations, coffee and tea",1
cyclamate,cherry flavour instant drink,non-alcoholic beverages,1
cadmium,swordfish (xiphias gladius)],fish and fish products,1
caffeine,high content of caffeine and insufficient labelling of dietary food supplement,"dietetic foods, food supplements, fortified foods",1
coumarin,cinnamon-flavoured crunchy cereal,cereals and bakery products,1
coumarin,bakery products and fruit paste containing cinnamon,other food product / mixed,1
coumarin,apple/cinnamon fruit bar,confectionery,1
coumarin,milk chocolate with cinnamon,confectionery,1
calcium lactate gluconate,pomegranate and apple juice fortified with vitamins and minerals,non-alcoholic beverages,1
colour sudan 4,zomi red palm oil,fats and oils,1
colour sudan 4,zomi spiced palm oil,fats and oils,1
capsaicin,hot sauce,"soups, broths, sauces and condiments",1
colour sudan red b,sauce,"soups, broths, sauces and condiments",1
capsaicin,chilli extract with raw material,"soups, broths, sauces and condiments",1
colour toluidine red,saffron,herbs and spices,1
copper,coarse salt,herbs and spices,1
copper,grapes,fruits and vegetables,1
cadmium,squid - frozen (loligo vulgaris),molluscs and products thereof - (obsolete),1
copper,migration of copper (2.8 mg/kg - ppm),food contact materials,1
calcium disodium ethylene diamine tetra acetate,lemon soda,non-alcoholic beverages,1
calcium disodium ethylene diamine tetra acetate,fruity flavour soft drink,non-alcoholic beverages,1
cyclamate,cocktail flavoured drink powder,non-alcoholic beverages,1
"copper chelate, manganese chelate, iron amino acid chelate, zinc amino acid chelate, potassium chelate",food supplement,"dietetic foods, food supplements, fortified foods",1
corrosion of,corrosion of and migration of chromium (51.9 mg/l) and of nickel (0.398 mg/l),food contact materials,1
coumarin,almonds/cinnamon fruit bar,confectionery,1
coumarin,dried spiced biscuits,cereals and bakery products,1
caffeine,coffee taste drink,non-alcoholic beverages,1
colour sudan 4,paprika powder mixture,herbs and spices,1
cadmium,whole cleaned cuttlefish skewer (sepia pharaonis),cephalopods and products thereof,1
cadmium,whole frozen cooked crabs (cancer pagurus),crustaceans and products thereof,1
cyanide,bitter almond kernels,"nuts, nut products and seeds",1
cyanide,sweet cake,cereals and bakery products,1
cyanide,bitter apricot kernels,"nuts, nut products and seeds",1
cyanide,"bitter apricot kernels (wild cultivation, pakistan-hunza)",fruits and vegetables,1
cadmium,whole cleaned frozen octopus (octopus vulgaris),molluscs and products thereof - (obsolete),1
cadmium,whole cleaned frozen cuttlefish,cephalopods and products thereof,1
cadmium,uncleaned cuttlefish (sepia pharaonis),cephalopods and products thereof,1
cadmium,whole frozen cuttlefish,molluscs and products thereof - (obsolete),1
cadmium,whole cleaned cuttlefish (sepia pharaonis),cephalopods and products thereof,1
cadmium,whole calamars,cephalopods and products thereof,1
cyanide,rose d'anjou,wine,1
cyanide,fruit poisoned,fruits and vegetables,1
cadmium,unshelled cooked mussels (mytilus chilensis),bivalve molluscs and products thereof,1
cadmium,whole baby octopus,cephalopods and products thereof,1
cadmium,walnut kernels,"nuts, nut products and seeds",1
cadmium,whole frozen cuttlefish,cephalopods and products thereof,1
cadmium,tuna flakes in oil and brine,fish and fish products,1
cyclamate,carbonated soft drink,non-alcoholic beverages,1
cadmium,tomato concentrate,fruits and vegetables,1
cadmium,tea herbal,"cocoa and cocoa preparations, coffee and tea",1
coumarin,organic apple and cinnamon muesli,cereals and bakery products,1
caffeine,carbonated soft drink,non-alcoholic beverages,1
cadmium,whole washed frozen cuttlefish (sepia spp),molluscs and products thereof - (obsolete),1
coumarin,rice pudding flavoured with cinnamon,cereals and bakery products,1
cadmium,whole washed cuttlefish (sepia spp),molluscs and products thereof - (obsolete),1
cyclamate,beverage,non-alcoholic beverages,1
cadmium,tuna,fish and fish products,1
curcumin,mustard sauce,"soups, broths, sauces and condiments",1
cadmium,whole santer seabream (cheimerius nufar),fish and fish products,1
cadmium,whole round illex squid (illex illecebrosus),molluscs and products thereof - (obsolete),1
cadmium,whole raw frozen banana prawns,crustaceans and products thereof,1
cadmium,tuna chunks in brine,fish and fish products,1
cristalsulphate,mayonaise,"soups, broths, sauces and condiments",1
cadmium,whole frozen scallops in shell (pecten maximus),molluscs and products thereof - (obsolete),1
curcumin,curry powder,herbs and spices,1
capsaicinoids,hot chilli spice sauce,"soups, broths, sauces and condiments",1
carageenan,jelly mini cups,confectionery,1
carmines,coctail nectar,non-alcoholic beverages,1
chromium,and migration of primary aromatic amines (0.073 mg/kg - ppm),food contact materials,1
chromium,migration of chromium (0.020 mg/l) and of nickel (8.40 mg/l),food contact materials,1
chromium,migration of chromium (0.02 mg/l) and of nickel (4.54 mg/l),food contact materials,1
chromium,"migration of chromium (0.01 mg/kg - ppm),of iron (5.68 mg/kg - ppm),of zinc (6.04 mg/kg - ppm) and of nickel (0.04 mg/kg - ppm)",food contact materials,1
chromium,migration of chromium,food contact materials,1
chromium,gelatine,meat and meat products (other than poultry),1
chromium,food supplement,"dietetic foods, food supplements, fortified foods",1
cadmium,squid (loliginidae),molluscs and products thereof - (obsolete),1
colour sudan 4,red chilli pepper,herbs and spices,1
chromium,migration of chromium (0.04 ; 114 mg/l) and of nickel (<0.01 ; 0.28 mg/l),food contact materials,1
colour sudan 4,red chilli powder,herbs and spices,1
cadmium,squid (loligo ghai),cephalopods and products thereof,1
colour sudan 4,red palm oil (zomi of togo),fats and oils,1
christmas hampers,christmas hampers,confectionery,1
chlorophylls,dried egg noodle,cereals and bakery products,1
chlorophenol,maizena,cereals and bakery products,1
colour sudan 4,red palmoil,fats and oils,1
chromium,migration of chromium (0.023; >0.005; 0.054 mg/dmå_) and of nickel (0.032; >0.005; 0.180 mg/dmå_),food contact materials,1
chromium,migration of chromium (0.05 mg/dmå_) and of nickel (1.34 mg/dmå_),food contact materials,1
carmines,dried papaya dices 8-10 mm,fruits and vegetables,1
cyclamate,prunes,fruits and vegetables,1
colour sudan 4,paprika seasoning preparation,herbs and spices,1
colour sudan 4,pure natural red palm oil,fats and oils,1
chromium,migration of chromium (0.18 mg/l) and of nickel (0.23 mg/l),food contact materials,1
chromium,migration of chromium (0.177 mg/l),food contact materials,1
chromium,migration of chromium (0.172 mg/l) and of nickel (0.585 mg/l),food contact materials,1
chromium,migration of chromium (0.154; 0.81; 0.45 mg/kg - ppm),food contact materials,1
cyclamate,raspberry flavour instant drink,non-alcoholic beverages,1
cyanide,natural bitter almonds,fruits and vegetables,1
cyclamate,instant drinking powder - raspberry flavour,non-alcoholic beverages,1
cyclamate,powder drink,"dietetic foods, food supplements, fortified foods",1
colour sudan 4,pure palm oil (100%),fats and oils,1
cyclamate,mayonnaise,"soups, broths, sauces and condiments",1
colour sudan 4,pure palm oil and pure zomi palm oil,fats and oils,1
colour sudan 4,pure unrefined palm oil,fats and oils,1
cyclamate,lemon flavoured drink,non-alcoholic beverages,1
chromium,migration of chromium (0.13 mg/l) and of nickel (0.14 mg/l),food contact materials,1
chloroform,liquid food supplement,"dietetic foods, food supplements, fortified foods",1
chlorine dioxide,udon noodle,cereals and bakery products,1
chlorine dioxide,precooked japanese noodle,cereals and bakery products,1
carrageenan,flavoured jelly cups,confectionery,1
colour sudan 4,sumak powder,herbs and spices,1
cyclamate,cola flavoured carbonated drink without sugar,non-alcoholic beverages,1
carrageenan,jelly,confectionery,1
cadmium,squid (loligo vulgaris),molluscs and products thereof - (obsolete),1
carrageenan,fruit jelly mini-cups,confectionery,1
colour sudan 4,vegetable oil,fats and oils,1
cyclamate,cola flavour carbonated drink,non-alcoholic beverages,1
colour sudan 4,vegetable palm oil,fats and oils,1
colour sudan 4,red pure palm oil,fats and oils,1
carmines,soluble preparation for green tea and forest fruits flavoured soft drink,other food product / mixed,1
carmines,smoked horse sausage,meat and meat products (other than poultry),1
colour sudan 4,yellow curry,herbs and spices,1
colour sudan 4,zomi (palm) oil,fats and oils,1
carmines,natural mango nectar,non-alcoholic beverages,1
colour sudan 4,zomi and palm oil,fats and oils,1
carmines,frozen vacuum packed preparation of tuna,fish and fish products,1
chromium,migration of chromium (turner: 34; tong: 27 mg/dmå_),food contact materials,1
carrageenan,lychee and mango mini cup jelly,confectionery,1
carrageenan,mini cup jellies,confectionery,1
colour sudan 4,spicy red pepper flakes,herbs and spices,1
colour sudan 4,redbrown spice mixture,herbs and spices,1
colour sudan 4,sojok spices,herbs and spices,1
chlorine,mineral water,non-alcoholic beverages,1
cyclamate,cola light,non-alcoholic beverages,1
colour sudan 4,spice mixture for meat in rice meal,herbs and spices,1
chlorine,green beans - canned,fruits and vegetables,1
chlorine,cheesy spirals,prepared dishes and snacks,1
colour sudan 4,spiced pure palm oil,fats and oils,1
chilled cuttlefish,unauthorised use of hydrogen peroxide for decontamination of chilled cuttlefish (sepia officinalis),fish and fish products,1
cadmium,squid (loligo spp),cephalopods and products thereof,1
chemical contamination,risk of chemical contamination (mustard gas) of chilled cod (gadus morhua),fish and fish products,1
colour sudan 4,spices,herbs and spices,1
carrageenan,tubs of jelly,confectionery,1
carrageenan,pudding mixed with nata de coco,confectionery,1
carrageenan,mixed fruit jelly,confectionery,1
chromium,migration of chromium (grids: 0.24 mg/kg - ppm) and of nickel (grids: 0.22 ; grids: 0.40 mg/kg - ppm),food contact materials,1
colour,tandoori masala barbecue ground spice,herbs and spices,1
chromium,migration of chromium and of nickel,food contact materials,1
colour sudan 1,dry powder used to make curry sauce,herbs and spices,1
colour sudan 1,extra hot chilli sauce,"soups, broths, sauces and condiments",1
colour sudan 1,extra aci pul biber (pepper),herbs and spices,1
colour sudan 1,sauce containing chilli pepper,"soups, broths, sauces and condiments",1
colour sudan 1,sauce prepared,"soups, broths, sauces and condiments",1
colour sudan 1,edible oil made,fats and oils,1
colour sudan 1,durum wheat semolina noodle - penne with chilli,cereals and bakery products,1
colour sudan 1,durum wheat pasta,cereals and bakery products,1
colour sudan 1,sauce with chilli,"soups, broths, sauces and condiments",1
colour sudan 1,durum semolina pasta with red chilli,cereals and bakery products,1
colour sudan 1,sauce with harissa,"soups, broths, sauces and condiments",1
colour sudan 1,savoury sauce,"soups, broths, sauces and condiments",1
colour sudan 1,dry adjika,herbs and spices,1
colour sudan 1,dried pasta containing chilli,prepared dishes and snacks,1
colour sudan 1,dried ground chilli pepper,herbs and spices,1
colour sudan 1,dried chilli powder,herbs and spices,1
colour sudan 1,different spices,herbs and spices,1
colour sudan 1,currypowder,herbs and spices,1
colour sudan 1,"curry, tandoori, spices",herbs and spices,1
colour sudan 1,curry powder produced,herbs and spices,1
colour sudan 1,curry powder hot/mild madras,herbs and spices,1
colour sudan 1,fine red-brown paprika powder,herbs and spices,1
colour sudan 1,fish and meat seasoning,herbs and spices,1
colour sudan 1,fish spice mixture,herbs and spices,1
colour sudan 1,satÌ© spice mixture,herbs and spices,1
colour sudan 1,grill and frying spices,herbs and spices,1
colour sudan 1,"red spaghetti, coloured with peperoncino",cereals and bakery products,1
colour sudan 1,green olives stuffed with hot chilli pepper,fruits and vegetables,1
colour sudan 1,red sweet paprika ground,herbs and spices,1
cadmium,"sepia pharaonis, loligo formosa + octopus dollfusi",molluscs and products thereof - (obsolete),1
colour sudan 1,red sweet paprika powder,herbs and spices,1
colour sudan 1,green chilli pickle,fruits and vegetables,1
colour sudan 1,"ridged, tubular pasta cut at an angle, black and red-coloured",cereals and bakery products,1
colour sudan 1,grains of paprika,herbs and spices,1
colour sudan 1,georgian sauce,"soups, broths, sauces and condiments",1
colour sudan 1,saffron,herbs and spices,1
colour sudan 1,garlic pickle in oil,fruits and vegetables,1
colour sudan 1,sate paste,"soups, broths, sauces and condiments",1
colour sudan 1,garlic curry sauce,"soups, broths, sauces and condiments",1
colour sudan 1,garlic cloves in oil with chilli,fruits and vegetables,1
colour sudan 1,garam masala (mixed spices),herbs and spices,1
colour sudan 1,frozen cooked mexican chicken meat,poultry meat and poultry meat products,1
colour sudan 1,food preparations,other food product / mixed,1
colour sudan 1,food colouring mixture,herbs and spices,1
colour sudan 1,sausage,meat and meat products (other than poultry),1
colour sudan 1,seasoning (tandoori masala),herbs and spices,1
chromium amino acid chelate,dietetic chocolate bar,"dietetic foods, food supplements, fortified foods",1
colour sudan 1,spice mix for korean carrot salad,herbs and spices,1
colour sudan 1,cocktail nuts,"nuts, nut products and seeds",1
colour sudan 1,chinese hot and spicy curry sauce,"soups, broths, sauces and condiments",1
colour sudan 1,chinese curry sauce concentrate,"soups, broths, sauces and condiments",1
colour sudan 1,spaghetti with chilli pepper,cereals and bakery products,1
colour sudan 1,chilli-seasoned pork sausage,meat and meat products (other than poultry),1
colour sudan 1,special indian curry,herbs and spices,1
colour sudan 1,spice mix for beef dishes,herbs and spices,1
colour sudan 1,spice mix for hamburger,herbs and spices,1
colour sudan 1,chilli sauce in olive oil,fats and oils,1
colour sudan 1,spice mix for meat dish,herbs and spices,1
colour sudan 1,curry paste,"soups, broths, sauces and condiments",1
colour sudan 1,spice mix for meatballs,herbs and spices,1
colour sudan 1,chilli powder. ground spanish pepper,herbs and spices,1
colour sudan 1,spice mixes for kebab and minced meat,herbs and spices,1
colour sudan 1,chilli powder used in the production of meat products,herbs and spices,1
colour sudan 1,spice mixture / tandoori masala,herbs and spices,1
colour sudan 1,chilli powder used for the preparation of fish soup,"soups, broths, sauces and condiments",1
colour sudan 1,chilli powder and tandoori masala,herbs and spices,1
colour sudan 1,spice mixture for carrot salad korean way,herbs and spices,1
colour sudan 1,chilli pepper paste,herbs and spices,1
colour sudan 1,cocktail snacks,prepared dishes and snacks,1
colour sudan 1,spaghetti with chilli,cereals and bakery products,1
colour sudan 1,coloured pastas,cereals and bakery products,1
colour sudan 1,shoarma spices,herbs and spices,1
colour sudan 1,curry masala powder,herbs and spices,1
colour sudan 1,curry bombay,herbs and spices,1
colour sudan 1,curry and hot pepper,herbs and spices,1
colour sudan 1,curry and chilli powder,herbs and spices,1
colour sudan 1,curry,herbs and spices,1
colour sudan 1,curcuma,herbs and spices,1
colour sudan 1,crushed hot chilli,herbs and spices,1
colour sudan 1,seasoning blends,herbs and spices,1
colour sudan 1,seasoning for adjika,herbs and spices,1
colour sudan 1,seasoning for hmeli-suneli,herbs and spices,1
colour sudan 1,crushed dry chilli,herbs and spices,1
colour sudan 1,seasoning for shish kebab,herbs and spices,1
colour sudan 1,seasoning for spaghetti and pizza,herbs and spices,1
colour sudan 1,seasoning sauce containing chilli,"soups, broths, sauces and condiments",1
colour sudan 1,selection of 5 spices,herbs and spices,1
colour sudan 1,several types of relish containing chilli powder,"soups, broths, sauces and condiments",1
colour sudan 1,crushed chilli pepper,herbs and spices,1
colour sudan 1,coriander and hot and mild curry powder,herbs and spices,1
colour sudan 1,cooked fava beans,fruits and vegetables,1
colour sudan 1,grill spices preparation,herbs and spices,1
colour sudan 1,red pesto sauce,"soups, broths, sauces and condiments",1
colour sudan 1,ground chilli pepper,herbs and spices,1
colour sudan 1,pickle mix,fruits and vegetables,1
colour sudan 1,pastet pepper,herbs and spices,1
colour sudan 1,mild madras currypowder,herbs and spices,1
colour sudan 1,pesto rosso,fruits and vegetables,1
