,classification,date_case,date_last_change,reference,country,type,category,subject
138,alert,25/01/2012,27/01/2012,2012.0127,Germany,food,fats and oils,benzo(a)pyrene (3.14 µg/kg - ppb) in organic argan oil from Morocco
139,border rejection,23/12/2011,23/12/2011,2011.CSS,Finland,food,herbs and spices,"3-monochlor-1,2-propanediol (3-MCPD) (0.032 mg/kg - ppm) in seasoning from China"
140,border rejection,16/12/2011,20/12/2011,2011.CRE,Romania,food,food additives and flavourings,melamine (2.85; 3.737 mg/kg - ppm) in ammonium bicarbonate from China
141,alert,09/12/2011,09/12/2011,2011.1808,Greece,food,water for human consumption (other),too high content of bromate (26.8 µg/l) in bottled still table water from the Netherlands
142,border rejection,08/12/2011,08/12/2011,2011.CPK,Finland,food,fats and oils,benzo(a)pyrene (10 µg/kg - ppb) in sea buckthorn oil from Russia
143,information for follow-up,06/12/2011,03/02/2012,2011.1780,Germany,food,herbs and spices,"dioxins (2.0 PCDD/F pg WHO TEQ/g) in dried basil from unknown origin, via Austria"
144,alert,30/11/2011,13/02/2012,2011.1744,Germany,food,fish and fish products,"benzo(a)pyrene (54.9 (in oil); 13.9 (in fish) µg/kg - ppb) in smoked sprats in vegetable oil from Lithuania, with raw material from Latvia"
145,information for attention,10/11/2011,10/11/2011,2011.1617,United Kingdom,food,fish and fish products,"benzo(a)pyrene (18 µg/kg - ppb) in smoked dried crayfish from unknown origin, via the United Kingdom"
146,information for attention,09/11/2011,09/11/2011,2011.1605,United Kingdom,food,crustaceans and products thereof,benzo(a)pyrene (14 µg/kg - ppb) in smoked prawns from Vietnam
147,alert,04/11/2011,24/01/2012,2011.1565,Germany,food,fish and fish products,benzo(a)pyrene (oil: 32.4; fish: 4.9; food composition: 10.4 µg/kg - ppb) in canned sprats in oil from Latvia
148,alert,04/11/2011,10/01/2012,2011.1564,Austria,food,fats and oils,benzo(a)pyrene (13; 12 µg/kg - ppb) in sesame oil from China
149,information for follow-up,20/10/2011,02/11/2011,2011.1470,Poland,food,prepared dishes and snacks,high level of acrylamide (1418 µg/kg - ppb) in potato crisps from the Czech Republic
150,information for attention,19/10/2011,06/12/2011,2011.1461,Czech Republic,food,milk and milk products,peroxide value (between 0.4 and 0.55 meq/kg) too high for frozen butter from France
151,information for attention,19/10/2011,14/11/2011,2011.1459,Slovenia,food,fats and oils,benzo(a)pyrene (6.2 µg/kg - ppb) in pumpkin oil from Slovenia
152,alert,19/10/2011,04/11/2011,2011.1464,Germany,food,fish and fish products,benzo(a)pyrene (25.3 µg/kg - ppb) in sprats in oil from Latvia
153,information for attention,18/10/2011,18/10/2011,2011.1453,Slovenia,food,fats and oils,benzo(a)pyrene (9.1 µg/kg - ppb) in pumpkin oil from Slovenia
154,information for follow-up,17/10/2011,10/11/2011,2011.1437,Czech Republic,food,"dietetic foods, food supplements, fortified foods","benzo(a)pyrene (3.38 µg/kg - ppb) in borage oil from the Czech Republic, with raw material from Poland"
155,alert,11/10/2011,07/11/2011,2011.1395,Austria,food,fats and oils,"benzo(a)pyrene (11 µg/kg - ppb) in sesame oil from China, via Austria"
156,information for attention,13/09/2011,20/03/2014,2011.1252,Germany,food,fruits and vegetables,benzo(a)pyrene (10.6 µg/kg - ppb) and polycyclic aromatic hydrocarbons (86.7 µg/kg - ppb) in roasted seaweed from China
157,alert,26/08/2011,20/03/2014,2011.1167,Denmark,food,fruits and vegetables,polycyclic aromatic hydrocarbons (69.5 µg/kg - ppb) in banana chips from Germany
158,alert,15/08/2011,01/09/2011,2011.1110,Netherlands,food,eggs and egg products,dioxins (2.07 pg WHO TEQ/g) and dioxin-like polychlorobifenyls (sum: 12.31 pg WHO TEQ/g) in eggs (organic production) from the Netherlands
159,information for follow-up,11/08/2011,20/03/2014,2011.1096,Germany,food,"nuts, nut products and seeds",benzo(a)pyrene (6.4 µg/kg - ppb) and polycyclic aromatic hydrocarbons (sum: 24.2 µg/kg - ppb) in peeled sesame from Nigeria
160,border rejection,11/08/2011,10/01/2012,2011.BQB,Finland,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (110 µg/kg - ppb) in soy sauce from the United States"
161,information for attention,10/08/2011,10/08/2011,2011.1085,Poland,food,fats and oils,benzo(a)pyrene (7.91 µg/kg - ppb) in vegetable oil from Ukraine
162,information for follow-up,04/08/2011,05/01/2012,2011.1053,France,food,milk and milk products,mineral oil (1024 mg/kg - ppm) in unsalted butter from France
163,information for follow-up,29/07/2011,19/01/2012,2011.1027,Portugal,food,poultry meat and poultry meat products,"suspicion of dioxins (in breeder chicken meat: 33.68; 430.9; 116.4 pg WHO TEQ/g) in hatching eggs, day old chicks and fattening chicks for slaughter and chicken carcasses from Portugal"
164,alert,20/07/2011,20/03/2014,2011.0978,Germany,food,"nuts, nut products and seeds","benzo(a)pyrene (4.0 µg/kg - ppb) and polycyclic aromatic hydrocarbons (11.4 µg/kg - ppb) in peeled sesame from India, via the Netherlands"
165,information for attention,19/07/2011,19/07/2011,2011.0974,Belgium,food,fats and oils,mineral oil (90 mg/kg - ppm) in palm oil from Lebanon
166,alert,01/07/2011,08/01/2015,2011.0880,Ireland,food,fish and fish products,benzo(a)pyrene (16.3 µg/kg - ppb) in smoked smelts in oil from Latvia
167,alert,01/06/2011,02/08/2011,2011.0734,Germany,food,fats and oils,benzo(a)pyrene (7.9; 9 µg/kg - ppb) in virgin rapeseed oil from Germany
168,information for attention,31/05/2011,03/08/2011,2011.0718,Germany,food,"nuts, nut products and seeds",benzo(a)pyrene (23.1 µg/kg - ppb) in pumpkin seeds from China
169,alert,31/05/2011,29/06/2011,2011.0711,France,food,crustaceans and products thereof,dioxins and dioxin-like polychlorobifenyls (sum = 6.885; 10.290 pg WHO TEQ/g) in frozen cooked crabs (Cancer pagurus) from Ireland
170,border rejection,27/05/2011,10/01/2012,2011.BEZ,Finland,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (0.30 mg/kg - ppm) in soy sauce from the United States"
171,border rejection,28/04/2011,27/07/2011,2011.AYS,Finland,food,fats and oils,benzo(a)pyrene (19 µg/kg - ppb) in hot chilli flavoured oil from Hong Kong
172,alert,12/04/2011,14/07/2011,2011.0479,Germany,food,cereals and bakery products,"migration of benzophenone (1747 µg/kg - ppb) from printed boxes containing frozen vermicelli noodles from Greece, via Germany"
173,alert,28/03/2011,07/06/2011,2011.0411,Netherlands,food,fats and oils,benzo(a)pyrene (8; 4.1 µg/kg - ppb) in palmoil stearin from Indonesia
174,border rejection,24/03/2011,24/03/2011,2011.ARI,United Kingdom,food,poultry meat and poultry meat products,diesel oil on packaging of frozen turkey breast from Israel
175,alert,18/03/2011,14/04/2011,2011.0367,Lithuania,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum = 48.5 pg WHO TEQ/g) in canned cod liver in sauce from Poland
176,border rejection,18/03/2011,18/03/2011,2011.APU,Czech Republic,food,fruits and vegetables,mineral oil (in fat fraction: 130; 150 mg/kg - ppm) in dried raisins from China
177,alert,03/03/2011,29/03/2011,2011.0286,Germany,food,"dietetic foods, food supplements, fortified foods","dioxins (7.1 ng/kg - ppt) and lead (14.8 mg/kg - ppm) in green clay powder and green clay capsules from Germany, with raw material from France"
178,alert,18/02/2011,03/03/2011,2011.0220,Germany,food,ices and desserts,hydrogen peroxide (2.5-5 g/100g) in semolina pudding and cream pudding from Germany
179,information for attention,15/02/2011,20/03/2014,2011.0193,Denmark,food,fruits and vegetables,polycyclic aromatic hydrocarbons (31.3 µg/kg - ppb) in honeydipped banana chips from the Philippines
180,information for follow-up,15/02/2011,10/03/2011,2011.0192,Belgium,food,fruits and vegetables,traces of diesel oil in frozen minced spinach from Belgium
181,alert,15/02/2011,22/02/2011,2011.0187,Netherlands,food,"dietetic foods, food supplements, fortified foods",benzo(a)pyrene (20 <---> 40 µg/kg - ppb) in spirulina food supplement from China
182,alert,11/02/2011,30/12/2011,2011.0180,Iceland,food,meat and meat products (other than poultry),dioxins and dioxin-like polychlorobifenyls in frozen lamb meat from Iceland
183,information for attention,31/01/2011,02/03/2012,2011.0120,Belgium,food,fish and fish products,benzo(a)pyrene (21.3 µg/kg - ppb) in smoked fish (Barracuda spp and Sardinella spp) from Ghana
184,alert,23/12/2010,24/01/2011,2010.1763,Germany,food,fats and oils,benzo(a)pyrene (3.2; 2.9; 2.6; 2.3; 4.9; 2.6 µg/kg - ppb) in refined rapeseed oil from the Netherlands and France
185,alert,15/12/2010,14/01/2011,2010.1705,France,food,eggs and egg products,dioxins and dioxin-like polychlorobifenyls (sum = 8.12 pg WHO TEQ/g) in eggs from France
186,information,06/12/2010,06/12/2010,2010.1658,Poland,food,fats and oils,dioxins (1.42; 1.58 pg WHO TEQ/g) in coconut fat acid distillate from Ukraine
187,information,24/11/2010,25/02/2011,2010.1602,Germany,food,"dietetic foods, food supplements, fortified foods","dioxins (6.7 ng/kg - ppt) in green clay from Germany, with raw material from France"
188,alert,15/11/2010,10/12/2010,2010.1561,Czech Republic,food,fish and fish products,benzo(a)pyrene (13.62 µg/kg - ppb) in smoked sprats in oil from Latvia
189,information,22/10/2010,22/10/2010,2010.1437,United Kingdom,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (0.29 mg/kg - ppm) in soy sauce from the Philippines"
190,information,14/10/2010,14/10/2010,2010.1393,Czech Republic,food,"dietetic foods, food supplements, fortified foods","benzo(a)pyrene (16,76 µg/kg - ppb) in sea-buckthorn oil from Ukraine, via the United Arab Emirates"
191,information,07/10/2010,08/10/2010,2010.1356,United Kingdom,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (2200 µg/kg - ppb) in soy sauce from the Philippines"
192,information,22/09/2010,04/11/2010,2010.1274,Slovakia,food,fats and oils,too high content of peroxide (4.83 meq/kg) in porcine lard from Poland
193,information,20/09/2010,20/09/2010,2010.1247,Slovakia,food,meat and meat products (other than poultry),benzo(a)pyrene (9.8 µg/kg - ppb) in smoked pork ribs from Poland
194,information,13/09/2010,13/09/2010,2010.1229,United Kingdom,food,fish and fish products,benzo(a)pyrene (20 µg/kg - ppb) in whole smoked crayfish from Nigeria
195,information,10/09/2010,26/10/2010,2010.1228,United Kingdom,food,fish and fish products,benzo(a)pyrene (10 µg/kg - ppb) in smoked catfish fillets from the Gambia
196,alert,31/08/2010,13/10/2010,2010.1192,Germany,food,fish and fish products,benzo(a)pyrene (48.2 in oil - 9.6 in fish - 17.9 in composed food µg/kg - ppb) in smoked sprats in oil from Poland
197,alert,27/07/2010,18/03/2011,2010.1032,Czech Republic,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like pcbs = 41.2 pg WHO TEQ/g) in cod liver from Poland
198,alert,27/07/2010,18/11/2010,2010.1033,Czech Republic,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 42 pg WHO TEQ/g) in cod liver from Poland
199,alert,27/07/2010,18/11/2010,2010.1030,Czech Republic,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 45.1 pg WHO TEQ/g) in cod liver from Poland
200,alert,27/07/2010,16/11/2010,2010.1031,Czech Republic,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 40.7 pg WHO TEQ/g) in cod liver from Poland
201,alert,27/07/2010,26/10/2010,2010.1034,Belgium,food,other food product / mixed,benzo(a)pyrene (27.9 µg/kg - ppb) in smoked seafood products from the Gambia
202,alert,27/07/2010,13/10/2010,2010.1029,Czech Republic,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 41.2 pg WHO TEQ/g) in cod liver from Poland
203,information,16/07/2010,10/09/2012,2010.0978,France,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (2600 µg/kg - ppb) in soy sauce from Vietnam"
204,information,15/07/2010,10/09/2010,2010.0975,Finland,food,"dietetic foods, food supplements, fortified foods","benzo(a)pyrene (15 µg/kg - ppb) in food supplement from Spain, via Belgium"
205,information,14/07/2010,21/10/2010,2010.0967,United Kingdom,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (18879 µg/kg - ppb) in soy sauce from the Philippines"
206,border rejection,09/07/2010,20/03/2014,2010.BEQ,Netherlands,food,fish and fish products,polycyclic aromatic hydrocarbons (68 µg/kg - ppb) in frozen smoked seafood from the Gambia
207,border rejection,29/06/2010,01/07/2010,2010.BDH,Greece,food,fruits and vegetables,mineral oil (280 mg/kg - ppm) in rapeseed oil used in sundried tomates in sunflower oil from Turkey
208,information,09/06/2010,09/06/2010,2010.0741,Czech Republic,food,fruits and vegetables,aliphatic hydrocarbons (>1274 mg/kg - ppm) in dried raisins from Iran
209,information,03/06/2010,03/06/2010,2010.0713,Czech Republic,food,fruits and vegetables,aliphatic hydrocarbons (795 mg/kg - ppm) in dried raisins from Iran
210,alert,28/05/2010,24/06/2010,2010.0672,Slovakia,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum = 68.1 pg WHO TEQ/g) in cod liver from Poland
211,border rejection,18/05/2010,20/10/2010,2010.AWT,Switzerland,food,fish and fish products,benzo(a)pyrene (0.009 mg/kg - ppm) in smoked threadfin (Polydactylus quadrifilis) from the Gambia
212,information,17/05/2010,14/06/2010,2010.0603,Germany,food,eggs and egg products,dioxins and dioxin-like polychlorobifenyls (sum: 14.89 pg WHO TEQ/g) in organic eggs from Germany
213,alert,28/04/2010,01/06/2011,2010.0519,Netherlands,food,eggs and egg products,"dioxins (1.35; 0.68; 0.69 - 2.8; 1.2; 3.8; 2.2; 1.3 pg WHO TEQ/g) in feed for laying hens from the Netherlands, with raw material from Ukraine"
214,information,16/04/2010,10/05/2010,2010.0475,Germany,food,fats and oils,benzo(a)pyrene (3.1 µg/kg - ppb) in pure pumpkin seed oil from Switzerland
215,alert,07/04/2010,16/04/2010,2010.0434,Slovakia,food,fish and fish products,"benzo(a)pyrene (8.4 µg/kg - ppb) in smoked sprats in oil from Latvia, via the Czech Republic"
216,border rejection,30/03/2010,20/04/2012,2010.APE,Poland,food,fats and oils,benzo(a)pyrene (2.0 mg/kg - ppm) in refined sunflower oil from Ukraine
217,alert,10/03/2010,22/03/2010,2010.0308,Slovakia,food,fish and fish products,benzo(a)pyrene (6.3 mg/kg - ppm) in smoked fish balls in tomato sauce from Latvia
218,information,05/03/2010,10/03/2010,2010.0273,Netherlands,food,"dietetic foods, food supplements, fortified foods",benzo(a)pyrene (12 µg/kg - ppb) in valerian root from the United States
219,border rejection,10/02/2010,10/02/2010,2010.AGM,Finland,food,"dietetic foods, food supplements, fortified foods",benzo(a)pyrene (4.7 µg/kg - ppb) in food supplement from China
220,border rejection,02/02/2010,17/02/2012,2010.AEW,Portugal,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (2.5 mg/kg - ppm) in soy sauce from Brazil"
221,information,28/01/2010,01/02/2010,2010.0109,Norway,food,"dietetic foods, food supplements, fortified foods","benzo(a)pyrene (86 µg/kg - ppb) in bilberry extract used in a food supplement from the United States, with raw material from Italy"
222,alert,15/01/2010,23/06/2010,2010.0047,France,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum = 21.384 pg WHO TEQ/g) in frozen sardines from France
223,alert,11/01/2010,01/02/2010,2010.0028,Austria,food,fats and oils,"benzo(a)pyrene (7.2 mg/kg - ppm) in pumpkin seed oil from Austria, with raw material from China, via Hungary"
224,information,05/01/2010,05/01/2010,2010.0009,Italy,food,cereals and bakery products,mineral oil used in the preparation of Savoiardi Morbidi from Italy
225,border rejection,30/12/2009,07/01/2010,2009.CFJ,Spain,food,fish and fish products,benzo(a)pyrene (54 mg/kg - ppm) in smoked bonga shad (Ethmalosa fimbriata) and smoked catfish (Silurus glanis) from the Gambia
226,border rejection,17/12/2009,10/01/2012,2009.CDU,Finland,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (0.038 µg/kg - ppb) in soy sauce from the United States"
227,information,14/12/2009,18/01/2010,2009.CCT,Finland,food,"dietetic foods, food supplements, fortified foods","benzo(a)pyrene (20 µg/kg - ppb) in food supplement (bilberry and vitamins) from the United States, via Norway"
228,alert,10/12/2009,21/12/2009,2009.1715,Latvia,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 34.8 pg WHO TEQ/g) in cod liver from Poland
229,alert,07/12/2009,05/02/2010,2009.1694,Belgium,food,fats and oils,mineral oil (140 (in raw oil); 75 (in refined oil) mg/kg - ppm) in refined sunflower oil from Ukraine
230,information,03/12/2009,09/03/2010,2009.1669,France,food,fats and oils,mineral oil (162; 369 mg/kg - ppm) in walnut oil from the United States
231,information,27/11/2009,15/12/2010,2009.1651,France,food,fish and fish products,benzo(a)pyrene (9.78 µg/kg - ppb) in smoked herring from Canada
232,alert,25/11/2009,04/12/2009,2009.1627,United Kingdom,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (569 µg/kg - ppb) in naturally brewed soy sauce from Malaysia"
233,information,03/11/2009,04/10/2011,2009.1488,Germany,food,fats and oils,benzo(a)pyrene (3.6 µg/kg - ppb) in sunflower oil from the Russian Federation
234,border rejection,22/10/2009,28/10/2009,2009.BVG,United Kingdom,food,fish and fish products,benzo(a)pyrene (7.8 mg/kg - ppm) in frozen fish and shrimps from the Gambia
235,alert,12/10/2009,09/11/2009,2009.1334,Austria,food,fish and fish products,benzo(a)pyrene (51.4 µg/kg - ppb) in dried fish from Italy
236,information,29/09/2009,29/09/2009,2009.1261,Latvia,food,fish and fish products,benzo(a)pyrene (9.8 µg/kg - ppb) in smoked sprats in oil from Latvia
237,border rejection,18/09/2009,26/10/2010,2009.BRC,Switzerland,food,fish and fish products,"benzo(a)pyrene (0.039; 0.083 mg/kg - ppm) in chilled smoked dried catfish (Silurus spp), pink cusk-eel (Genypterus blacodes) and tilapia from the Gambia"
238,alert,15/09/2009,29/09/2009,2009.1210,Finland,food,"dietetic foods, food supplements, fortified foods","benzo(a)pyrene (4.5 µg/kg - ppb) in food supplement from Germany, packaged in Sweden"
239,information,08/09/2009,04/10/2011,2009.1176,Germany,food,fats and oils,benzo(a)pyrene (3.4 µg/kg - ppb) in sunflower oil from the Russian Federation
240,alert,04/09/2009,14/09/2009,2009.1159,Czech Republic,food,"dietetic foods, food supplements, fortified foods",benzo(a)pyrene (2.6 µg/kg - ppb) in sea-buckthorn oil from Ukraine
241,alert,27/08/2009,30/09/2009,2009.1111,Czech Republic,food,fish and fish products,benzo(a)pyrene (8.51 µg/kg - ppb) in smoked sprats in oil (Sprattus sprattus) from Latvia
242,border rejection,25/08/2009,06/12/2010,2009.BNS,Italy,food,fish and fish products,benzo(a)pyrene (cat fish: 22.4; shrimps: 32.6 µg/kg - ppb) in frozen smoked catfish and shrimps from the Gambia
243,alert,20/08/2009,09/09/2009,2009.1090,Germany,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs=73.96 pg WHO TEQ/g) in canned cod liver from Latvia
244,information,03/08/2009,11/01/2010,2009.1021,United Kingdom,food,crustaceans and products thereof,benzo(a)pyrene (19.9 µg/kg - ppb) in smoked dried shrimps from the Gambia
245,information,27/07/2009,07/08/2009,2009.0981,Commission Services,food,prepared dishes and snacks,high level of acrylamide (5900; 5000 µg/kg - ppb) in potato crisps with sea salt from the United Kingdom
246,border rejection,22/07/2009,15/04/2010,2009.BIG,Finland,food,fruits and vegetables,"3-monochlor-1,2-propanediol (3-MCPD) (0.091 mg/kg - ppm) in hydrolyzed vegetable protein from Switzerland"
247,alert,13/07/2009,22/07/2009,2009.0908,Latvia,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 107 pg WHO TEQ/g) in cod livers from Lithuania
248,information,07/07/2009,04/05/2011,2009.0876,Germany,food,fish and fish products,benzo(a)pyrene (38.2 µg/kg - ppb) in hot smoked fish (Chrisichtys oheneba) from Ghana
249,alert,03/07/2009,03/09/2009,2009.0860,Netherlands,food,"dietetic foods, food supplements, fortified foods","benzo(a)pyrene (16.6 µg/kg - ppb) in food supplement from Germany, with raw material from China"
250,information,03/07/2009,15/07/2009,2009.0853,Netherlands,food,"dietetic foods, food supplements, fortified foods",benzo(a)pyrene (19.3 µg/kg - ppb) in food supplement from the United States
251,information,03/07/2009,09/07/2009,2009.0852,Netherlands,food,"dietetic foods, food supplements, fortified foods",benzo(a)pyrene (24.2 µg/kg - ppb) in sleep-stimulating tablets from Switzerland
252,border rejection,02/07/2009,18/06/2010,2009.BFT,Germany,food,fish and fish products,dioxin-like polychlorobifenyls (49.40 pg WHO TEQ/g) in monkfish liver (Lophius piscatorius) from the United States
253,border rejection,16/06/2009,22/06/2009,2009.BDO,Spain,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (101 µg/kg - ppb) in soy sauce from the Philippines"
254,alert,15/06/2009,08/07/2010,2009.0770,Belgium,food,fish and fish products,benzo(a)pyrene (41.6 µg/kg - ppb) in smoked fish from the Gambia
255,alert,09/06/2009,23/06/2009,2009.0737,Czech Republic,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 63.5 pg WHO TEQ/g) in cod liver in own oil from Poland
256,border rejection,08/06/2009,17/08/2010,2009.BCD,Germany,food,fish and fish products,dioxins (32.09 pg WHO TEQ/g) in anglerfish liver (Lophius piscatorius) from the United States
257,alert,26/05/2009,22/06/2009,2009.0652,Slovakia,food,fish and fish products,sum of dioxins and dioxin-like polychlorobifenyls (57.27 pg WHO TEQ/g) in cod liver from Poland
258,border rejection,25/05/2009,25/05/2009,2009.BAG,Finland,food,"dietetic foods, food supplements, fortified foods",benzo(a)pyrene (9.2 µg/kg - ppb) in fish oil capsules from China
259,border rejection,12/05/2009,18/06/2010,2009.AYA,Greece,food,fats and oils,mineral oil (120 mg/kg - ppm) in crude maize oil from Ukraine
260,border rejection,12/05/2009,25/05/2009,2009.AYC,Lithuania,food,fats and oils,benzo(a)pyrene (3.0 µg/kg - ppb) in crude sunflower oil from Ukraine
261,information,29/04/2009,22/06/2009,2009.0552,Germany,food,meat and meat products (other than poultry),dioxins (27.81 pg WHO TEQ/g) in lamb liver from the United Kingdom
262,alert,28/04/2009,07/05/2009,2009.0538,Czech Republic,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum of dioxins and dioxin-like PCBs = 39.7 pg/kg) in cod liver in own oil from Poland
263,border rejection,23/04/2009,23/04/2009,2009.AUR,Italy,food,food additives and flavourings,toluene (20 µg/kg - ppb) in vanillin powder from China
264,alert,15/04/2009,25/05/2009,2009.0483,Slovakia,food,fish and fish products,benzo(a)pyrene (8.5 µg/kg - ppb) in smoked sprats (Sprattus sprattus) from Poland
265,alert,09/04/2009,15/04/2009,2009.0461,Austria,food,"nuts, nut products and seeds","melamine (13.54 mg/kg - ppm) in roasted peanuts from China, via the Netherlands"
266,alert,09/04/2009,15/04/2009,2009.0460,Austria,food,"nuts, nut products and seeds","melamine (3.9 mg/kg - ppm) in roasted peanuts from China, via the Netherlands"
267,alert,26/03/2009,12/04/2011,2009.0357,Belgium,food,fish and fish products,"benzo(a)pyrene (144.2 µg/kg - ppb) in smoked fish (Clarias anguillaris, Gymnarcus niloticus) from Ghana"
268,alert,24/03/2009,15/07/2009,2009.0347,Netherlands,food,"nuts, nut products and seeds",melamine (3.1 <-->9.3 mg/kg - ppm) in peanut crackers from China
269,information,12/03/2009,14/04/2011,2009.0297,Czech Republic,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (70.1 µg/kg - ppb) in soy sauce from Vietnam"
270,alert,06/03/2009,20/04/2009,2009.0275,Czech Republic,food,cereals and bakery products,"melamine (3.98 mg/kg - ppm) in oriental mix from China, via the Netherlands"
271,information,25/02/2009,25/02/2009,2009.0241,France,food,cereals and bakery products,"3-monochlor-1,2-propanediol (3-MCPD) (1.8 mg/kg - ppm) in chocolate molten cake from France"
272,alert,13/02/2009,20/02/2009,2009.0185,Hungary,food,fish and fish products,benzo(a)pyrene (8.4 µg/kg - ppb) in canned sprats in oil from Latvia
273,information,12/02/2009,02/03/2009,2009.0182,Hungary,food,milk and milk products,illegal import of and melamine (5.4 mg/kg - ppm) in canned milk for children from China
274,information,09/02/2009,24/03/2011,2009.0158,Commission Services,food,cereals and bakery products,melamine (2.2; 3.5; 2.9;4.1 mg/kg - ppm) in lemon puff biscuits from Sri Lanka
275,information,04/02/2009,06/10/2010,2009.0127,Greece,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (157.8 mg/kg - ppm) in soy sauce from the Philippines"
276,alert,04/02/2009,07/04/2009,2009.0130,Italy,food,"nuts, nut products and seeds","melamine (13 mg/kg - ppm) in roasted nuts from China, via the Netherlands"
277,border rejection,26/01/2009,14/02/2011,2009.AEP,Finland,food,fruits and vegetables,benzo(a)pyrene (4.7 mg/kg - ppm) in marinated garlic from Lebanon
278,alert,23/01/2009,24/03/2011,2009.0077,Luxembourg,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (1480 µg/kg - ppb) in soya sauce manufactured in Colombia, via the Netherlands and via Belgium"
279,border rejection,21/01/2009,26/01/2009,2009.ADX,Italy,food,cereals and bakery products,melamine (2.71; 3.5; 1.4; 1.3; 1.4; 1.9; 3.7; 2.53; 1.2; 4.2 mg/kg - ppm) in rice chilli crackers from China
280,border rejection,19/01/2009,19/01/2009,2009.ADF,Ireland,food,confectionery,melamine (13.06; 2.62 mg/kg - ppm) in red bean creamy candies &  biscuits from China
281,border rejection,19/01/2009,19/01/2009,2009.ADB,Ireland,food,cereals and bakery products,melamine (3.53 mg/kg - ppm) in strawberry flavoured roll cake from China
282,information,16/01/2009,16/01/2009,2009.0048,Ireland,food,cereals and bakery products,melamine (3.3; 28.64 mg/kg - ppm) in strawberry and lemon flavoured cream wafers from China
283,information,05/01/2009,05/01/2009,2009.0008,Poland,food,food additives and flavourings,melamine (183 mg/kg - ppm) in ammonium bicarbonate (E503ii) from China
284,border rejection,26/12/2008,17/05/2011,2008.CBP,Greece,food,cephalopods and products thereof,unauthorised use of hydrogen peroxide for decontamination of frozen whole cleaned cuttlefish (Sepia pharaonis) from Vietnam
285,information,26/12/2008,20/01/2009,2008.1697,Germany,food,food additives and flavourings,"melamine (460,6 mg/kg - ppm) in leavening agent ammonium carbonate (E 503) from China"
286,alert,22/12/2008,14/01/2009,2008.1671,Czech Republic,food,cereals and bakery products,melamine (3.5 mg/kg - ppm) in salty sticks from Poland
287,alert,11/12/2008,19/12/2008,2008.1599,Czech Republic,food,food additives and flavourings,"melamine (81; 128 mg/kg - ppm) in ammonium bicarbonate from China, via Poland"
288,border rejection,08/12/2008,07/01/2011,2008.BYH,Finland,food,"soups, broths, sauces and condiments","benzo(a)pyrene (7.3 in oil µg/kg - ppb) in spicy vegetable paste from China, via China (Hong Kong)"
289,information,08/12/2008,15/12/2008,2008.1586,France,food,meat and meat products (other than poultry),"dioxins (433 pg WHO TEQ/g) in pork fillets from the Netherlands, with raw material from Ireland"
290,alert,06/12/2008,01/02/2010,2008.1584,Netherlands,food,meat and meat products (other than poultry),dioxins and dioxin-like polychlorobifenyls in pig meat from Ireland
291,border rejection,05/12/2008,05/12/2008,2008.BYF,Slovenia,food,meat and meat products (other than poultry),melamine (162 mg/kg - ppm) in milk products and attempt to illegally import milk and animal products from China
