,classification,date_case,date_last_change,reference,country,type,category,subject
559,alert,18/01/2012,30/09/2014,2012.0099,Finland,food,fruits and vegetables,"tin (555; 325 mg/kg - ppm) in canned sliced pineapple from Thailand, via Germany"
560,alert,18/01/2012,14/04/2014,2012.0100,Italy,food,fish and fish products,"mercury (2.08 mg/kg - ppm) in slices of swordfish with raw material from Brazil, via Spain"
561,alert,13/01/2012,11/05/2012,2012.0068,Italy,food,fish and fish products,"mercury (1.72 mg/kg - ppm) in frozen sliced swordfish (Xiphias gladius) from Portugal, with raw material from Spain"
562,information for attention,12/01/2012,21/03/2012,2012.0061,Italy,food,fish and fish products,mercury (2.48 mg/kg - ppm) in frozen sliced moro shark from South Africa
563,information for attention,11/01/2012,20/03/2012,2012.0049,France,food,fish and fish products,mercury (1.655 mg/kg - ppm) in chilled swordfish from Spain
564,alert,09/01/2012,23/03/2012,2012.0029,Italy,food,fish and fish products,"mercury (1.71 mg/kg - ppm) in sliced frozen blue shark (Prionace glauca) manufactured in Italy, with raw material from Vietnam"
565,alert,30/12/2011,17/01/2012,2011.1956,Italy,food,cephalopods and products thereof,cadmium (1.775 mg/kg - ppm) in frozen cuttlefish from India
566,information for attention,27/12/2011,21/05/2012,2011.1927,Germany,food,cephalopods and products thereof,"cadmium (2.89 mg/kg - ppm) in chilled squid (Loligo spp) from Spain, via Portugal and via Italy"
567,information for attention,27/12/2011,24/04/2012,2011.1922,Italy,food,fish and fish products,mercury (0.8 mg/kg - ppm) in chilled dentex from Egypt
568,alert,23/12/2011,16/02/2012,2011.1913,Italy,food,fish and fish products,"mercury (1.33 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Morocco, via Spain"
569,border rejection,20/12/2011,30/05/2012,2011.CRN,Italy,food,bivalve molluscs and products thereof,cadmium in frozen squids (Illex spp.) from Argentina
570,information for attention,19/12/2011,19/12/2011,2011.1869,United Kingdom,food,cephalopods and products thereof,cadmium (3.39 mg/kg - ppm) in crispy squid from Thailand
571,information for attention,13/12/2011,22/12/2011,2011.1840,Italy,food,fish and fish products,mercury (2.3 mg/kg - ppm) in chilled ray from France
572,information for follow-up,09/12/2011,16/04/2012,2011.1810,Italy,food,fish and fish products,"mercury (1.4 mg/kg - ppm) in chilled swordfish slices from Morocco, via Spain"
573,alert,08/12/2011,04/01/2012,2011.1795,Italy,food,fish and fish products,mercury (0.886 mg/kg - ppm) in chilled greater amberjack (Seriola dumerilii) from Greece
574,information for attention,08/12/2011,08/12/2011,2011.1794,Italy,food,fish and fish products,mercury (2.4 mg/kg - ppm) in chilled swordfish (Xiphias Gladius) from France
575,alert,05/12/2011,01/03/2012,2011.1772,Italy,food,fish and fish products,"mercury (1.33 µg/kg - ppb) in chilled swordfish (Xiphias gladius) from Senegal, processed in Spain"
576,information for attention,05/12/2011,13/12/2011,2011.1776,Italy,food,fish and fish products,mercury (1.3; 1.4; 1.2 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Spain
577,information for attention,05/12/2011,05/12/2011,2011.1774,Italy,food,fish and fish products,mercury (0.66 mg/kg - ppm) in chilled bluefin gurnard (Chelidonichthys kumu) from New Zealand
578,alert,30/11/2011,05/01/2012,2011.1743,Italy,food,fish and fish products,"mercury (1.6 mg/kg - ppm) in monkfish (Lophius piscatorius) from Italy, via France"
579,information for attention,29/11/2011,16/02/2012,2011.1733,Italy,food,fish and fish products,"mercury (2.2 mg/kg - ppm) in packed slices of swordfish (Xiphias gladius) from Morocco, via Spain"
580,alert,24/11/2011,19/01/2012,2011.1700,Italy,food,fish and fish products,mercury (2.1 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from France
581,information for follow-up,23/11/2011,02/12/2011,2011.1692,Czech Republic,food,meat and meat products (other than poultry),mercury (0.0576 mg/kg - ppm) in chilled pork kidney from Germany
582,information for attention,23/11/2011,24/11/2011,2011.1691,Italy,food,fish and fish products,mercury (1.2 mg/kg - ppm) in frozen vacuum packedswordfish slices from Spain
583,alert,21/11/2011,15/12/2011,2011.1681,Belgium,food,fruits and vegetables,cadmium (0.6 mg/kg - ppm) in frozen spinach from Belgium
584,alert,18/11/2011,31/07/2012,2011.1675,Italy,food,fish and fish products,mercury (1.78 mg/kg - ppm) in frozen swordfish from Spain
585,border rejection,18/11/2011,31/05/2012,2011.CKA,Italy,food,cephalopods and products thereof,cadmium (1.26 mg/kg - ppm) in frozen squids from Argentina
586,alert,18/11/2011,10/01/2012,2011.1672,Poland,food,"dietetic foods, food supplements, fortified foods",cadmium (0.100 mg/kg - ppm) in baby food - infant rice with apple from Poland
587,alert,16/11/2011,07/12/2011,2011.1651,Italy,food,fish and fish products,mercury (2.0 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from France
588,alert,11/11/2011,20/12/2011,2011.1628,Slovakia,food,fruits and vegetables,lead (0.517 mg/kg - ppm) in white beans from China
589,information for attention,10/11/2011,24/11/2011,2011.1618,Italy,food,fish and fish products,mercury (2.2 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from France
590,information for attention,10/11/2011,10/11/2011,2011.1614,Poland,food,fruits and vegetables,mercury (4.016 mg/kg - ppm) in dried mushrooms (Boletus edulis) from Poland
591,information for follow-up,09/11/2011,19/12/2011,2011.1597,Italy,food,fish and fish products,mercury (1.7 mg/kg - ppm) in angler fish (Lophius piscatorius) from France
592,alert,09/11/2011,06/12/2011,2011.1599,Italy,food,fish and fish products,mercury (1.6 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from France
593,information for attention,07/11/2011,26/04/2013,2011.1583,Germany,food,crustaceans and products thereof,cadmium (0.573 mg/kg - ppm) in chilled tiger prawns from Senegal
594,information for attention,04/11/2011,06/05/2014,2011.1555,Cyprus,food,"dietetic foods, food supplements, fortified foods","unauthorised substances tin, nickel and vanadium in food supplement from the United States, via China"
595,information for attention,31/10/2011,29/02/2012,2011.1528,Italy,food,fish and fish products,"mercury (1.58 mg/kg - ppm) in vacuum packed swordfish (Xiphias gladius) with raw material from Spain, via France"
596,information for attention,31/10/2011,06/12/2011,2011.1527,France,food,fish and fish products,mercury (0.662 mg/kg - ppm) in chilled scorpion fish (Scorpaena scrofa) from Algeria
597,information for attention,27/10/2011,27/12/2011,2011.1513,Italy,food,fish and fish products,mercury (2.1 mg/kg - ppm) in monkfish tail (Lophius piscatorius) from Italy
598,alert,27/10/2011,28/11/2011,2011.1515,Poland,food,food additives and flavourings,arsenic (3.82 mg/kg - ppm) and high content of lead (31.1 mg/kg - ppm) in bentonite from France
599,alert,26/10/2011,26/10/2011,2011.1507,Belgium,food,fruits and vegetables,cadmium (0.56 mg/kg - ppm) in spinach from Belgium
600,information for attention,18/10/2011,08/12/2011,2011.1456,Italy,food,fish and fish products,mercury (1.87 mg/kg - ppm) in swordfish slices (Xiphias gladius) from Spain
601,information for attention,13/10/2011,30/09/2014,2011.1423,Italy,food,fruits and vegetables,tin (230; 173 mg/kg - ppm) in canned pineapple in syrup from Thailand
602,alert,11/10/2011,29/03/2012,2011.1392,France,food,bivalve molluscs and products thereof,"cadmium (1.89 mg/kg - ppm) in unshelled cooked mussels (Mytilus chilensis) from Chile, via France"
603,information for follow-up,11/10/2011,06/02/2012,2011.1393,Czech Republic,food,"dietetic foods, food supplements, fortified foods","high content of lead (5.6 mg/kg - ppm) in freshwater algae manufactured in the Czech Republic, with raw material from Spain"
604,information for attention,11/10/2011,12/10/2011,2011.1402,United Kingdom,food,other food product / mixed,arsenic (1.92 mg/kg - ppm) in edible gelatine from Pakistan
605,information for attention,10/10/2011,19/01/2012,2011.1387,Italy,food,fish and fish products,"mercury (1.68 mg/kg - ppm) in chilled swordfish from Portugal, via Spain"
606,information for follow-up,07/10/2011,30/09/2014,2011.1379,Cyprus,food,fruits and vegetables,"tin (254 mg/kg - ppm) in canned mushrooms from Germany, manufactured in China"
607,information for attention,04/10/2011,01/08/2012,2011.1357,Germany,food,fish and fish products,mercury (1.05 mg/kg - ppm) in fish (Dentex angolensis) from Senegal
608,alert,04/10/2011,31/05/2012,2011.1353,Italy,food,cephalopods and products thereof,"cadmium (2.4 mg/kg - ppm) in frozen squid (Illex argentinus) from Argentina, via Spain"
609,information for attention,03/10/2011,26/06/2012,2011.1344,France,food,fish and fish products,mercury (1.463 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from South Korea
610,border rejection,30/09/2011,06/05/2014,2011.BYK,Cyprus,food,"dietetic foods, food supplements, fortified foods","unauthorised substances tin, nickel and vanadium in food supplement from the United States"
611,information for attention,30/09/2011,01/08/2012,2011.1332,Greece,food,fish and fish products,mercury (0.60 mg/kg - ppm) in chilled Dentex angolensis from Senegal
612,alert,30/09/2011,07/12/2011,2011.1334,Greece,food,fish and fish products,mercury (1.4 mg/kg - ppm) in canned tuna (Eythynnus alleratus) from Turkey
613,alert,23/09/2011,30/03/2012,2011.1304,Italy,food,fish and fish products,"mercury (3.2 mg/kg - ppm) in frozen swordfish from Brazil, via Portugal and via Spain"
614,alert,23/09/2011,30/03/2012,2011.1303,Greece,food,fish and fish products,mercury (1.7 mg/kg - ppm) in frozen headless-skinned blue shark (Prionace glauca) from Spain
615,information for attention,23/09/2011,23/09/2011,2011.1299,Malta,food,fish and fish products,mercury (2 mg/kg - ppm) in chilled swordfish from Malta
616,alert,22/09/2011,25/10/2011,2011.1294,Italy,food,fish and fish products,"mercury (1.5 mg/kg - ppm) in chilled dogfish (Mustelus mustelus) from the United Kingdom, via France"
617,information for attention,20/09/2011,20/09/2011,2011.1280,Malta,food,fish and fish products,mercury (2.4 mg/kg - ppm) in chilled swordfish from Malta
618,information for attention,20/09/2011,20/09/2011,2011.1279,Malta,food,fish and fish products,mercury (2.4 mg/kg - ppm) in chilled swordfish from Malta
619,information for attention,19/09/2011,19/09/2011,2011.1276,Malta,food,fish and fish products,mercury (1.5 mg/kg - ppm) in chilled swordfish from Malta
620,border rejection,16/09/2011,03/10/2011,2011.BVP,Italy,food,cephalopods and products thereof,cadmium (2.1 mg/kg - ppm) in frozen whole round cuttlefish (Sepia pharaonis) from Yemen
621,information for follow-up,15/09/2011,30/09/2014,2011.1263,Greece,food,fruits and vegetables,"tin (262 mg/kg - ppm) in canned mushrooms from China, via Germany"
622,border rejection,15/09/2011,18/11/2011,2011.BVM,France,food,fish and fish products,mercury (1.362 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Indonesia
623,alert,15/09/2011,06/10/2011,2011.1261,Malta,food,fish and fish products,mercury (2.9 mg/kg - ppm) in frozen swordfish from Spain
624,border rejection,15/09/2011,03/10/2011,2011.BVO,Italy,food,cephalopods and products thereof,cadmium (2.5 mg/kg - ppm) in frozen whole round cuttlefish (Sepia pharaonis) from Yemen
625,border rejection,15/09/2011,03/10/2011,2011.BVN,Italy,food,cephalopods and products thereof,cadmium (3.1 mg/kg - ppm) in frozen whole round cuttlefish (Sepia pharaonis) from Yemen
626,alert,14/09/2011,29/09/2011,2011.1254,Germany,food,meat and meat products (other than poultry),lead (74 mg/kg - ppm) in frozen rabbit haunches (with bones) from Austria
627,alert,12/09/2011,21/10/2011,2011.1248,Italy,food,meat and meat products (other than poultry),cadmium (0.463 mg/kg - ppm) in horse meat from Poland
628,border rejection,09/09/2011,12/09/2011,2011.BUV,France,food,fish and fish products,mercury (0.754 mg/kg - ppm) in chilled fish from Morocco
629,information for attention,08/09/2011,18/11/2011,2011.1226,France,food,fish and fish products,cadmium (0.440 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Indonesia
630,information for attention,07/09/2011,13/09/2011,2011.1220,France,food,fish and fish products,mercury (1.61 mg/kg - ppm) in gilthead seabream (Sparus aurata) from Morocco
631,border rejection,29/08/2011,29/08/2011,2011.BTA,Italy,food,fish and fish products,cadmium (0.17 mg/kg - ppm) in Atlantic mackerel (Scomber scombrus) from Morocco
632,alert,26/08/2011,06/09/2011,2011.1168,Germany,food,"dietetic foods, food supplements, fortified foods",lead (5 mg/kg - ppm) in silica and zinc capsules from Germany
633,alert,18/08/2011,21/09/2011,2011.1124,Slovakia,food,fruits and vegetables,lead (0.31 mg/kg - ppm) in bango beans from China
634,information for follow-up,16/08/2011,16/08/2011,2011.1112,Italy,food,cephalopods and products thereof,cadmium (3.09 mg/kg - ppm) in frozen cuttlefish from Yemen
635,information for attention,12/08/2011,16/08/2011,2011.1099,United Kingdom,food,other food product / mixed,arsenic (6.4 mg/kg - ppm) and lead (2.7 mg/kg - ppm) in calabash chalk from Ghana
636,alert,09/08/2011,05/09/2011,2011.1080,Belgium,food,"dietetic foods, food supplements, fortified foods",arsenic (42.7 mg/kg - ppm) and lead (25.6 mg/kg - ppm) in green clay from France
637,alert,09/08/2011,23/08/2011,2011.1071,Slovakia,food,fruits and vegetables,"lead (2.103 mg/kg - ppm) in cranberry beans from China, via Hungary"
638,border rejection,28/07/2011,30/03/2012,2011.BOA,France,food,fish and fish products,lead (0.843 mg/kg - ppm) in frozen atlantic bonito (Sarda sarda) from Mauritania
639,alert,22/07/2011,29/07/2011,2011.0995,Italy,food,fish and fish products,mercury (1.927 mg/kg - ppm) in chilled little tunny (Euthynnus alleteratus) from Greece
640,alert,21/07/2011,05/08/2011,2011.0987,Poland,food,"dietetic foods, food supplements, fortified foods",mercury (0.452 mg/kg - ppm) in food supplement from Poland
641,alert,14/07/2011,06/08/2012,2011.0942,France,food,fish and fish products,mercury (0.704 mg/kg - ppm) in chilled comet grouper (Epinephelus morrhua) from Mauritius
642,information for attention,14/07/2011,13/10/2011,2011.0947,Czech Republic,food,fish and fish products,cadmium (0.106; 0132 mg/kg - ppm) in sardines in tomato sauce from Morocco
643,alert,14/07/2011,20/09/2011,2011.0948,Czech Republic,food,fish and fish products,cadmium (0.104; 0.128 mg/kg - ppm) in spicy sardines from Morocco
644,information for attention,14/07/2011,19/09/2011,2011.0946,Czech Republic,food,fish and fish products,cadmium (0.11; 0157 mg/kg - ppm) in sardines in the vegetable oil from Morocco
645,alert,11/07/2011,23/08/2011,2011.0920,Italy,food,fish and fish products,"mercury (1.38 mg/kg - ppm) in sliced swordfish (Xiphias gladius) from Chile, via Spain"
646,alert,11/07/2011,11/07/2011,2011.0922,Germany,food,"dietetic foods, food supplements, fortified foods","high content of zinc (453; 227.9 mg/item) in food supplement from the United States, via the Netherlands"
647,alert,05/07/2011,26/05/2014,2011.0892,Italy,food,fish and fish products,mercury (3.51 mg/kg - ppm) in frozen blue shark steaks from Portugal
648,information for attention,05/07/2011,05/07/2011,2011.0894,Italy,food,fish and fish products,mercury (1.478 mg/kg - ppm) in chilled loins of swordfish from Spain
649,information for attention,01/07/2011,14/02/2012,2011.0878,France,food,fish and fish products,mercury (1.702 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Sri Lanka
650,border rejection,01/07/2011,25/10/2011,2011.BJW,France,food,cephalopods and products thereof,cadmium (1.400 mg/kg - ppm) in frozen squid tubes (Loligo spp) from India
651,information for follow-up,30/06/2011,22/08/2011,2011.0862,Germany,food,fish and fish products,mercury (1.36 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Chile
652,border rejection,28/06/2011,30/09/2014,2011.BJN,Cyprus,food,"dietetic foods, food supplements, fortified foods","tin and unauthorised substances nickel and vanadium in food supplement from the United States, via South Africa"
653,alert,28/06/2011,26/04/2013,2011.0848,Italy,food,fish and fish products,mercury (1.17 mg/kg - ppm) in frozen blue marlin (Makaira nigricans) from Spain
654,information for follow-up,28/06/2011,27/07/2011,2011.0855,Germany,food,cephalopods and products thereof,cadmium (1.12; 1.79; 2 mg/kg - ppm) in frozen squid from China
655,information for follow-up,24/06/2011,30/06/2011,2011.0841,Germany,food,poultry meat and poultry meat products,mercury (0.017 mg/kg - ppm) in cooked cubed chicken breast from Thailand
656,alert,23/06/2011,20/09/2011,2011.0829,Czech Republic,food,fish and fish products,cadmium (0.136; 0.192 mg/kg - ppm) and histamine (between 15.8 and 303.1 mg/kg - ppm) in sardines in vegetable oil from Morocco
657,alert,23/06/2011,22/07/2011,2011.0825,Italy,food,fish and fish products,mercury (2.668 mg/kg - ppm) in frozen slices of swordfish (Xiphias Gladius) from Spain
658,border rejection,23/06/2011,20/07/2011,2011.BIY,France,food,fish and fish products,mercury (2.072 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Chile
659,border rejection,23/06/2011,20/07/2011,2011.BIX,France,food,fish and fish products,mercury (1.416 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Chile
660,information for follow-up,21/06/2011,19/07/2011,2011.0812,Belgium,food,fruits and vegetables,"cadmium (0.13 mg/kg - ppm) in frozen salsifies from the Netherlands, with raw material from Belgium"
661,border rejection,16/06/2011,08/07/2011,2011.BIE,Germany,food,fish and fish products,mercury (1.75 mg/kg - ppm) in swordfish loins from Chile
662,border rejection,15/06/2011,26/09/2011,2011.BHW,Germany,food,fish and fish products,mercury (1.43 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Chile
663,border rejection,09/06/2011,26/01/2012,2011.BHE,Spain,food,fish and fish products,mercury (2.9 mg/kg - ppm) in frozen marlin from Vietnam
664,information for attention,09/06/2011,07/07/2011,2011.0759,Italy,food,fish and fish products,mercury (1.5 mg/kg - ppm) in chilled swordfish loins from Chile
665,alert,31/05/2011,14/07/2011,2011.0719,Belgium,food,cephalopods and products thereof,"cadmium (3.8 mg/kg - ppm) in frozen squid from India, via the Netherlands"
666,information for attention,27/05/2011,10/06/2011,2011.0710,France,food,fish and fish products,mercury (2.064 mg/kg - ppm) in frozen red snapper fillets (Etelis marschi) from Madagascar
667,alert,26/05/2011,22/06/2011,2011.0700,Slovenia,food,fish and fish products,mercury (1.75 mg/kg - ppm) in chilled marine fish (Seriola Dumerili) from Croatia
668,information for follow-up,24/05/2011,06/05/2014,2011.0687,Cyprus,food,"dietetic foods, food supplements, fortified foods","unauthorised substances tin, nickel and vanadium in multi vitamin and mineral food supplement from the United States"
669,alert,23/05/2011,30/06/2011,2011.0679,Greece,food,fish and fish products,cadmium (0.140 mg/kg - ppm) in canned sardines in oil from Morocco
670,border rejection,20/05/2011,10/10/2012,2011.BDX,France,food,fish and fish products,cadmium (0.495 mg/kg - ppm) in seasoned anchovy (Stolephorus indicus) from Thailand
671,border rejection,20/05/2011,10/10/2012,2011.BDW,France,food,fish and fish products,cadmium (0.509 mg/kg - ppm) in seasoned anchovy (Stolephorus indicus) from Thailand
672,information for attention,20/05/2011,22/09/2011,2011.0668,Greece,food,fish and fish products,cadmium (0.171 mg/kg - ppm) in sardines in oil from Morocco
673,border rejection,05/05/2011,17/05/2011,2011.AZV,Spain,food,fish and fish products,mercury (2.6 mg/kg - ppm) in frozen marlin (Makaira spp.) from Vietnam
674,information for attention,03/05/2011,03/05/2011,2011.0573,Germany,food,"dietetic foods, food supplements, fortified foods",lead (4.7 mg/kg - ppm) in silica and zinc capsules from Germany
675,information for attention,29/04/2011,29/04/2011,2011.0559,Italy,food,meat and meat products (other than poultry),lead (0.379 mg/kg - ppm) in bovine meat from France
676,alert,29/04/2011,29/04/2011,2011.0558,Germany,food,"dietetic foods, food supplements, fortified foods","high content of lead (27 mg/kg dry matter) in capsules containing silica from Austria, manufactured in Germany"
677,alert,26/04/2011,06/12/2012,2011.0544,Poland,food,fish and fish products,cadmium (0.081 mg/kg - ppm) in frozen blue shark steaks from Spain
678,alert,21/04/2011,10/05/2011,2011.0533,Italy,food,fish and fish products,mercury (1.22 mg/kg - ppm) in frozen sliced swordfish from Spain
679,alert,15/04/2011,12/08/2011,2011.0501,France,food,fish and fish products,mercury (1.639 mg/kg - ppm) in chilled swordfish (Xiphias gladius) loins from Chile
680,border rejection,15/04/2011,09/08/2011,2011.AWC,Spain,food,cephalopods and products thereof,cadmium (2 mg/kg - ppm) in frozen octopus from Vietnam
681,border rejection,15/04/2011,15/06/2011,2011.AWD,Italy,food,fish and fish products,mercury in frozen shark slices from Thailand
682,border rejection,14/04/2011,13/12/2011,2011.AVP,Spain,food,fish and fish products,mercury (1.3 mg/kg - ppm) in white dogfish from Senegal
683,border rejection,14/04/2011,14/06/2011,2011.AVQ,Spain,food,fish and fish products,mercury (2.1 mg/kg - ppm) in white dogfish from Senegal
684,alert,14/04/2011,14/04/2011,2011.0496,Italy,food,meat and meat products (other than poultry),lead (0.148 mg/kg - ppm) in beef from the Netherlands
685,information for attention,08/04/2011,22/07/2011,2011.0468,Italy,food,fish and fish products,mercury (3.636 mg/kg - ppm) in frozen marlin loins (Makaira indica) from Vietnam
686,alert,06/04/2011,28/12/2011,2011.0452,Italy,food,fish and fish products,"mercury (2.3 mg/kg - ppm) in smoked tuna (Thunnus albacares) from Spain, with raw material from Colombia"
687,alert,06/04/2011,29/09/2011,2011.0451,Italy,food,fish and fish products,"mercury (1.72 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain, with raw material from Indonesia"
688,information for follow-up,24/03/2011,12/05/2011,2011.0394,Greece,food,herbs and spices,"mercury (0.21 mg/kg - ppm) in ground nutmeg with raw material from Indonesia, via Italy"
689,alert,23/03/2011,05/08/2011,2011.0392,Italy,food,fish and fish products,"mercury (1.572 mg/kg - ppm) in swordfish from Spain, with raw material from Indonesia"
690,alert,07/03/2011,24/01/2013,2011.0297,Italy,food,fish and fish products,mercury (1.42 mg/kg - ppm) in frozen slices of blue shark (Prionace glauca) from Spain
691,alert,07/03/2011,25/07/2011,2011.0294,Italy,food,fish and fish products,mercury (1.349 mg/kg - ppm) in frozen swordfish slices from Spain
692,border rejection,03/03/2011,30/09/2014,2011.AMK,Italy,food,fruits and vegetables,tin (296 mg/l) in canned pineapple from Thailand
693,alert,03/03/2011,29/03/2011,2011.0286,Germany,food,"dietetic foods, food supplements, fortified foods","dioxins (7.1 ng/kg - ppt) and lead (14.8 mg/kg - ppm) in green clay powder and green clay capsules from Germany, with raw material from France"
694,information for attention,01/03/2011,13/04/2012,2011.0278,Belgium,food,fish and fish products,mercury (1.79 mg/kg - ppm) in marlin (Malaira mazara) from Ecuador
695,information for follow-up,24/02/2011,13/07/2011,2011.0254,Germany,food,meat and meat products (other than poultry),mercury (0.017 mg/kg - ppm) in frozen rabbit meat from China
696,border rejection,21/02/2011,07/07/2011,2011.AKO,France,food,fish and fish products,"mercury (0.936; 0.925 mg/kg - ppm) in chilled red porgy (Pagrus pagrus), red scorpionfish (Scorpaena scrofa), greater weever (Trachinus draco), dusky grouper (Epinephelus guaza) from Algeria"
697,alert,17/02/2011,24/02/2012,2011.0204,Belgium,food,cephalopods and products thereof,cadmium (4.3; 3.9 mg/kg - ppm) in frozen squid rings and frozen squid tentacles from India
698,alert,04/02/2011,01/03/2011,2011.0141,Slovakia,food,fruits and vegetables,cadmium (0.34 mg/kg - ppm) in spinach leaves cut deep frozen from Belgium
699,border rejection,27/01/2011,07/05/2012,2011.AEM,Italy,food,cephalopods and products thereof,cadmium (1.582 mg/kg - ppm) in frozen whole squid (Loligo duvaucelli) from India
700,information for attention,26/01/2011,03/03/2011,2011.0102,Italy,food,crustaceans and products thereof,"cadmium (0.87 mg/kg - ppm) in chilled crabs (Cancer pagurus) from the United Kingdom, dispatched from France"
701,information for attention,21/01/2011,25/02/2011,2011.0085,United Kingdom,food,herbs and spices,"arsenic (10.2 mg/kg - ppm), cadmium (0.35 mg/kg - ppm) and lead (76.8 mg/kg - ppm) in Szechuan flower pepper from Singapore"
702,information for attention,19/01/2011,25/02/2011,2011.0071,Germany,food,"soups, broths, sauces and condiments",mercury droplets (2.4 g/100g) in table salt from Germany
703,alert,18/01/2011,13/04/2012,2011.0062,France,food,fish and fish products,cadmium (0.700 mg/kg - ppm) in seasoned anchovies (Stolephorus indicus) from Thailand
704,border rejection,14/01/2011,09/01/2012,2011.ABT,Italy,food,cephalopods and products thereof,cadmium (1.40 mg/kg - ppm) in frozen squid (Loligo spp) from India
705,information for attention,13/01/2011,06/02/2012,2011.0044,Italy,food,fish and fish products,mercury (2.1 mg/kg - ppm) in and carbon monoxide treatment (429.3 µg/kg - ppb) of vacuum packed swordfish chunks from Vietnam
706,border rejection,13/01/2011,15/03/2011,2011.ABI,Italy,food,cephalopods and products thereof,cadmium (3.5 mg/kg - ppm) in frozen squid (Illex argentinus) from Uruguay
707,border rejection,13/01/2011,11/02/2011,2011.ABN,Italy,food,cephalopods and products thereof,cadmium (2 mg/kg - ppm) in frozen squid tubes (Illex Argentinus) with sauce from Uruguay
708,information for attention,12/01/2011,25/02/2011,2011.0042,Spain,food,fish and fish products,mercury (5.6 mg/kg - ppm) in sliced dogfish from Spain
709,information for attention,10/01/2011,26/01/2012,2011.0028,Italy,food,crustaceans and products thereof,cadmium (1.22 mg/kg - ppm) in frozen crabs (Portunus trituberculatus) from China
710,information for attention,05/01/2011,06/02/2012,2011.AAN,Netherlands,food,fish and fish products,mercury (1.35 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Panama
711,border rejection,05/01/2011,11/02/2011,2011.AAL,Italy,food,cephalopods and products thereof,cadmium (3.7 mg/kg - ppm) in frozen squid rings from Uruguay
712,information for attention,04/01/2011,22/08/2011,2011.0008,Italy,food,fish and fish products,mercury (1.3 mg/kg - ppm) in frozen sliced blue shark (Prionace glauca) from Vietnam
713,information for attention,03/01/2011,05/04/2011,2011.0003,Italy,food,crustaceans and products thereof,cadmium (0.60; 1.20 mg/kg - ppm) in frozen cooked crabs (Cancer pagurus) from Ireland
714,information for attention,03/01/2011,25/02/2011,2011.0002,Italy,food,meat and meat products (other than poultry),"cadmium (4.12; 0.50 mg/kg - ppm) in horse meat from horses slaughtered in Italy, originating from Poland"
715,border rejection,03/01/2011,11/02/2011,2011.AAC,Italy,food,cephalopods and products thereof,cadmium (5.4 mg/kg - ppm) in frozen grilled squid (Illex argentinus) from Uruguay
716,alert,03/01/2011,04/02/2011,2011.0005,Italy,food,fish and fish products,mercury (0.71 mg/kg - ppm) in frozen chunks of amberjack from Spain
717,border rejection,28/12/2010,09/01/2012,2010.CIQ,Italy,food,cephalopods and products thereof,cadmium (2.407 mg/kg - ppm) in cleaned frozen whole squid (Loligo duvauceli) from India
718,border rejection,28/12/2010,09/01/2012,2010.CIP,Italy,food,cephalopods and products thereof,cadmium (5.150 mg/kg - ppm) in cleaned frozen whole squid (Loligo duvauceli) from India
719,alert,23/12/2010,09/02/2011,2010.1752,Italy,food,fish and fish products,mercury (1.7 mg/kg - ppm) in swordfish loins from Spain
720,alert,17/12/2010,14/02/2011,2010.1719,Italy,food,fish and fish products,mercury (1.91 mg/kg - ppm) in swordfish from Spain
721,border rejection,17/12/2010,03/02/2011,2010.CGP,Italy,food,cephalopods and products thereof,cadmium (2.3; 0.5 mg/kg - ppm) in frozen squid (Illex Argentinus) from Uruguay
722,information,16/12/2010,31/01/2011,2010.1709,Italy,food,fish and fish products,mercury (2.8 mg/kg - ppm) in thawed shortfin mako (Isurus oxyrhincus) fillets from Spain
723,border rejection,15/12/2010,01/08/2011,2010.CFZ,Italy,food,cephalopods and products thereof,cadmium (1.7 mg/kg - ppm) in frozen whole cleaned squid (Loligo formosana) from Thailand
724,information,13/12/2010,16/03/2011,2010.1691,Italy,food,cephalopods and products thereof,cadmium (1.74 mg/kg - ppm) in frozen squid from India
725,information,02/12/2010,09/01/2012,2010.1644,Italy,food,cephalopods and products thereof,cadmium (1.7 mg/kg - ppm) in frozen whole squids (Loligo douvaceli) from India
726,information,30/11/2010,05/01/2011,2010.1632,Italy,food,fish and fish products,mercury (1.294 mg/kg - ppm) in fresh tuna from Spain
727,information,23/11/2010,18/02/2011,2010.1594,Italy,food,crustaceans and products thereof,cadmium (0.859 mg/kg - ppm) in frozen whole cooked crabs (Cancer pagurus) from Ireland
728,alert,23/11/2010,29/11/2010,2010.1598,Germany,food,"dietetic foods, food supplements, fortified foods","high content of zinc (76.8 mg/tablet) in food supplement from the United States, via the Netherlands"
